0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,,,,,,,,,,,,,,,,,
,,SDART 2022-1,,SDART 2021-4,,SDART 2021-3,,SDART 2021-2,,SDART 2021-1,,SDART 2020-4,,SDART 2020-3,,SDART 2020-2,,SDART 2020-1
Current Principal Balance (% of Aggregate Principal Balance),,,,,,,,,,,,,,,,,,
"$0.01 - $5,000.00",,0.87%,,0.71%,,0.95%,,0.99%,,0.65%,,0.24%,,0.51%,,1.49%,,0.23%
"$5,000.01 - $10,000.00",,3.26%,,2.80%,,4.18%,,3.39%,,2.61%,,2.28%,,2.99%,,4.75%,,3.88%
"$10,000.01 - $15,000.00",,5.43%,,5.49%,,9.24%,,8.66%,,7.91%,,8.09%,,9.85%,,11.73%,,11.96%
"$15,000.01 - $20,000.00",,10.88%,,11.86%,,15.53%,,17.16%,,16.61%,,16.17%,,17.51%,,17.62%,,18.46%
"$20,000.01 - $25,000.00",,16.34%,,17.71%,,17.87%,,19.09%,,18.46%,,17.94%,,18.44%,,17.05%,,18.74%
"$25,000.01 - $30,000.00",,17.78%,,17.10%,,16.10%,,16.93%,,16.36%,,16.03%,,16.32%,,15.52%,,17.52%
"$30,000.01 - $35,000.00",,15.99%,,14.57%,,13.02%,,13.54%,,13.37%,,13.07%,,12.57%,,11.49%,,12.11%
"$35,000.01 - $40,000.00",,12.79%,,11.95%,,10.03%,,10.27%,,10.04%,,11.59%,,9.51%,,8.90%,,8.93%
"$40,000.01 - $45,000.00",,8.20%,,8.54%,,6.42%,,5.53%,,6.35%,,6.80%,,5.65%,,5.12%,,4.50%
"$45,000.01 - $50,000.00",,4.46%,,4.73%,,3.53%,,2.36%,,3.61%,,3.53%,,3.18%,,2.86%,,1.86%
"$50,000.01 and greater",,4.00%,,4.54%,,3.13%,,2.08%,,4.03%,,4.26%,,3.48%,,3.46%,,1.82%
,,,,,,,,,,,,,,,,,,
Original Mileage (% of Aggregate Principal Balance),,,,,,,,,,,,,,,,,,
"0 - 5,000",,22.93%,,24.42%,,31.88%,,33.57%,,36.75%,,37.30%,,37.89%,,39.73%,,39.86%
"5,001 - 10,000",,2.93%,,2.93%,,2.39%,,2.22%,,2.34%,,2.34%,,2.28%,,2.05%,,2.17%
"10,001 - 15,000",,3.59%,,3.51%,,2.96%,,2.97%,,2.93%,,2.93%,,3.16%,,2.87%,,2.95%
"15,001 - 20,000",,4.44%,,4.64%,,3.90%,,4.01%,,3.96%,,3.85%,,3.95%,,3.83%,,3.84%
"20,001 - 25,000",,5.17%,,5.33%,,4.80%,,4.86%,,4.63%,,4.62%,,4.75%,,4.27%,,4.16%
"25,001 - 30,000",,5.68%,,6.15%,,5.71%,,5.85%,,5.65%,,5.73%,,5.52%,,4.90%,,4.72%
"30,001 - 35,000",,6.12%,,6.57%,,6.52%,,6.95%,,6.71%,,6.71%,,6.53%,,5.63%,,5.52%
"35,001 - 40,000",,5.89%,,6.20%,,6.40%,,6.85%,,6.62%,,6.37%,,6.27%,,5.93%,,5.89%
"40,001 - 45,000",,5.44%,,5.63%,,5.83%,,5.98%,,5.52%,,5.45%,,5.44%,,5.41%,,5.98%
"45,001 - 50,000",,5.14%,,5.05%,,4.73%,,4.67%,,4.26%,,4.08%,,4.15%,,4.33%,,4.68%
"50,001 and above",,32.66%,,29.58%,,24.88%,,22.08%,,20.62%,,20.60%,,20.06%,,21.06%,,20.23%
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Loan Funded Score (% of Aggregate Principal Balance) (17),,,,,,,,,,,,,,,,,,
450 and lower,,10.73%,,9.54%,,10.42%,,9.53%,,10.60%,,10.91%,,11.40%,,11.38%,,10.70%
451 - 500,,21.46%,,24.04%,,22.42%,,22.93%,,21.90%,,22.56%,,21.92%,,25.69%,,26.65%
501 - 550,,30.72%,,30.21%,,30.87%,,30.51%,,30.07%,,30.42%,,30.55%,,25.61%,,27.25%
551 - 600,,21.41%,,21.47%,,21.22%,,20.96%,,20.45%,,19.98%,,19.06%,,21.03%,,20.61%
601 - 650,,7.61%,,7.89%,,9.99%,,10.12%,,10.31%,,9.27%,,9.12%,,7.17%,,6.12%
651 - 700,,4.93%,,4.00%,,3.19%,,3.65%,,3.50%,,3.08%,,3.78%,,3.80%,,5.03%
701 - 750,,1.83%,,1.40%,,1.18%,,1.35%,,1.39%,,1.41%,,1.91%,,2.37%,,1.11%
751+,,1.31%,,1.45%,,0.71%,,0.95%,,1.78%,,2.38%,,2.27%,,2.95%,,2.52%
Not Available(18),,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%
,,,,,,,,,,,,,,,,,,
FICO® Score (% of Aggregate Principal Balance),,,,,,,,,,,,,,,,,,
1 - 500,,1.65%,,2.24%,,0.00%,,0.81%,,1.98%,,2.60%,,2.54%,,3.96%,,1.93%
501 - 550,,9.85%,,12.09%,,7.90%,,9.66%,,12.15%,,12.97%,,12.89%,,15.00%,,14.56%
551 - 600,,29.56%,,29.52%,,38.44%,,33.42%,,29.61%,,29.29%,,29.65%,,29.47%,,34.78%
601 - 650,,31.35%,,27.00%,,30.29%,,31.56%,,28.01%,,26.40%,,26.75%,,22.72%,,23.80%
