0,1,2,3
Cutoff  Date,"$89,430,657.84",September 2028,"$8,308,092.53"
April 2025,86102795.89,October 2028,7564985.86
May 2025,82850080.67,November 2028,6864562.06
June 2025,79673065.50,December 2028,6206003.21
July 2025,76571710.47,January 2029,5588434.66
August 2025,73545883.45,February 2029,5011137.55
September 2025,70595332.92,March 2029,4473165.85
October 2025,67719687.31,April 2029,3973516.08
November 2025,64918517.96,May 2029,3511302.56
December 2025,62191445.97,June 2029,3085638.45
January 2026,59538044.47,July 2029,2695787.72
February 2026,56957919.06,August 2029,2340822.59
March 2026,54450695.88,September 2029,2019779.87
April 2026,52015986.08,October 2029,1731670.20
May 2026,49653316.02,November 2029,1475334.23
June 2026,47361844.92,December 2029,1249059.33
July 2026,45140583.81,January 2030,1051366.80
August 2026,42988418.92,February 2030,880514.99
September 2026,40903680.13,March 2030,733347.18
October 2026,38884692.74,April 2030,606860.30
November 2026,36930118.57,May 2030,498720.41
December 2026,35038844.76,June 2030,406905.08
January 2027,33210293.37,July 2030,329582.39
February 2027,31443788.92,August 2030,264891.27
