0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Payment Date,,,0.50%,,,,1.00%,,,,1.30%,,,,1.50%,,,,1.70%,
Closing Date,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
September 2024,,,71.47,%,,,64.56,%,,,59.48,%,,,54.60,%,,,41.64,%
October 2024,,,60.59,%,,,50.71,%,,,43.50,%,,,36.68,%,,,19.14,%
November 2024,,,49.74,%,,,37.03,%,,,27.86,%,,,19.29,%,,,0.00,%
December 2024,,,38.93,%,,,23.53,%,,,12.53,%,,,2.43,%,,,0.00,%
January 2025,,,28.23,%,,,10.29,%,,,0.00,%,,,0.00,%,,,0.00,%
February 2025,,,17.97,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
March 2025,,,7.74,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
April 2025,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
Weighted Average Life to Optional Purchase (years)(1),,,0.30,,,,0.22,,,,0.19,,,,0.16,,,,0.12,
Weighted Average Life to Maturity (years)(1),,,0.30,,,,0.22,,,,0.19,,,,0.16,,,,0.12,
