0,1,2,3,4,5,6,7,8,9,10
,,Principal  Amount of  Class A-1 Notes,,Principal  Amount of  Class A-2a Notes(1),,Principal  Amount of  Class A-2b Notes(1),,Principal  Amount of  Class A-3 Notes,,Principal  Amount of  Class A-4 Notes
TD Securities (USA) LLC,,$__________,,$__________,,$__________,,$__________,,$__________
Citigroup Global Markets Inc.,,$__________,,$__________,,$__________,,$__________,,$__________
Lloyds Securities Inc.,,$__________,,$__________,,$__________,,$__________,,$__________
Scotia Capital (USA) Inc.,,$__________,,$__________,,$__________,,$__________,,$__________
"SG Americas Securities, LLC",,$__________,,$__________,,$__________,,$__________,,$__________
HSBC Securities (USA) Inc.,,$__________,,$__________,,$__________,,$__________,,$__________
Total,,"$308,750,000(3)",,$_____ (2),,$_____ (2),,"$490,390,000(3)",,"$100,415,000(3)"
