0,1,2,3,4,5,6
Class of Certificates,Expected Range  of Initial Certificate Balance,Expected Range  of Initial Available Certificate Balance,Expected Range  of Initial Retained Certificate Balance,Expected Range  of Assumed Final Distribution Dates,Expected Range  of Weighted Average Life (Years),Expected Range  of Principal Window (Months)
Class A-4,"$0 - $230,000,000","$0 - $223,123,000","$0 - $6,877,000",NAP – August 2035,NAP – 9.64,NAP / 04/35 – 08/35
Class A-5,"$235,203,000 - $465,203,000","$228,170,000 - $451,293,000","$7,033,000 - $13,910,000",September 2035 –September 2035,9.78 - 9.90,04/35 – 09/35 / 08/35 – 09/35
