0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,Class A-1,Class A-1,Class A-1,Class A-1,Class A-1,Class A-1,Class A-1,Class A-1,Class A-1,Class A-1,Class A-1,,Class A-2a  and A-2b,Class A-2a  and A-2b,Class A-2a  and A-2b,Class A-2a  and A-2b,Class A-2a  and A-2b,Class A-2a  and A-2b,Class A-2a  and A-2b,Class A-2a  and A-2b,Class A-2a  and A-2b,Class A-2a  and A-2b,Class A-2a  and A-2b,
Payment  Date,,0.00%,,0.50%,,1.00%,,1.30%,,1.70%,,2.00%,,0.00%,,0.50%,,1.00%,,1.30%,,1.70%,,2.00%,
Closing  Date,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"December 15,  2025",,91.31,,88.94,,86.23,,84.41,,81.66,,79.29,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"January 15,  2026",,83.13,,78.46,,73.15,,69.57,,64.17,,59.53,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"February 15,  2026",,74.91,,68.04,,60.23,,54.95,,47.01,,40.18,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"March 15,  2026",,66.58,,57.60,,47.39,,40.49,,30.12,,21.19,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"April 15,  2026",,58.29,,47.28,,34.76,,26.32,,13.62,,2.68,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"May 15,  2026",,49.94,,36.99,,22.28,,12.36,,0.00,,0.00,,100.00,,100.00,,100.00,,100.00,,98.23,,89.37,
"June 15,  2026",,41.57,,26.77,,9.97,,0.00,,0.00,,0.00,,100.00,,100.00,,100.00,,99.06,,87.30,,77.19,
"July 15,  2026",,33.14,,16.59,,0.00,,0.00,,0.00,,0.00,,100.00,,100.00,,98.48,,89.74,,76.60,,65.29,
"August 15,  2026",,24.70,,6.48,,0.00,,0.00,,0.00,,0.00,,100.00,,100.00,,90.21,,80.59,,66.13,,53.69,
"September 15,  2026",,16.22,,0.00,,0.00,,0.00,,0.00,,0.00,,100.00,,97.53,,82.04,,71.59,,55.89,,42.39,
