0,1,2,3,4,5,6,7
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information
Mortgage Loan Seller:,Mortgage Loan Seller:,Mortgage Loan Seller:,JPMCB,JPMCB,,Single Asset/Portfolio:,Portfolio
,,,,,,Location(2):,Various
Original Balance(1):,Original Balance(1):,Original Balance(1):,"$55,000,000","$55,000,000",,General Property Type:,Retail
Cut-off Date Balance(1):,Cut-off Date Balance(1):,Cut-off Date Balance(1):,"$55,000,000","$55,000,000",,Detailed Property Type(2):,Various
% of Initial Pool Balance:,% of Initial Pool Balance:,% of Initial Pool Balance:,8.0%,8.0%,,Title Vesting:,Fee
Loan Purpose:,Loan Purpose:,Loan Purpose:,Refinance,Refinance,,Year Built/Renovated(2):,Various/Various
Borrower Sponsor:,Borrower Sponsor:,Borrower Sponsor:,"Coastal Equities Holdings, LLC","Coastal Equities Holdings, LLC",,Size:,"3,424,574 SF"
Guarantors:,Guarantors:,Guarantors:,"Edward Ross, Scott Ross and","Edward Ross, Scott Ross and",,Cut-off Date Balance PSF(1):,$47
,,,Howard Arnberg,Howard Arnberg,,Maturity Balance PSF(1):,$47
Mortgage Rate:,Mortgage Rate:,Mortgage Rate:,6.3500%,6.3500%,,Property Manager:,"EH Scott, LLC"
Note Date:,Note Date:,Note Date:,4/30/2025,4/30/2025,,,
Maturity Date:,Maturity Date:,Maturity Date:,5/1/2035,5/1/2035,,,
Term to Maturity:,Term to Maturity:,Term to Maturity:,120 months,120 months,,Underwriting and Financial Information,Underwriting and Financial Information
Amortization Term:,Amortization Term:,Amortization Term:,0 months,0 months,,UW NOI:,"$18,800,517"
IO Period:,IO Period:,IO Period:,120 months,120 months,,UW NCF(4):,"$17,117,002"
Seasoning:,Seasoning:,Seasoning:,5 months,5 months,,UW NOI Debt Yield(1):,11.8%
Prepayment Provisions:,Prepayment Provisions:,Prepayment Provisions:,"L(25),YM1(89),O(6)","L(25),YM1(89),O(6)",,UW NCF Debt Yield(1):,10.7%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Springing/Springing,Springing/Springing,,UW NOI Debt Yield at Maturity(1):,11.8%
Additional Debt Type(1):,Additional Debt Type(1):,Additional Debt Type(1):,Pari Passu,Pari Passu,,UW NCF DSCR(1):,1.66x
Additional Debt Balance(1):,Additional Debt Balance(1):,Additional Debt Balance(1):,"$105,000,000","$105,000,000",,Most Recent NOI:,"$18,715,136 (5/31/2025 TTM)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),,2nd Most Recent NOI:,"$19,105,510 (12/31/2024)"
,,,,,,3rd Most Recent NOI:,"$18,650,166 (12/31/2023)"
Reserves(3),Reserves(3),Reserves(3),Reserves(3),Reserves(3),,Most Recent Occupancy(5):,88.6% (4/1/2025)
Type,Initial,Monthly,Monthly,Cap,,2nd Most Recent Occupancy(5):,93.4% (1/1/2024)
RE Taxes:,"$700,000","$270,000","$270,000",NAP,,3rd Most Recent Occupancy:,91.6% (1/1/2023)
Insurance:,$0,Springing,Springing,NAP,,Appraised Value (as of)(6):,"$239,000,000 (2/1/2025)"
Replacement Reserve:,$0,"$43,115","$43,115","$1,034,765",,Appraised Value PSF:,$70
Rollover Reserve:,"$2,000,000",Springing,Springing,"$750,000",,Cut-off Date LTV Ratio(1):,66.9%
Free Rent Reserve:,"$298,281",$0,$0,NAP,,Maturity Date LTV Ratio(1):,66.9%
Outstanding TI Reserve:,"$1,565,213",$0,$0,NAP,,,
Required Repairs Reserve:,"$1,873,606",$0,$0,NAP,,,
,,,,,,,
