0,1,2,3,4,5,6,7,8
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information,Property Information
Mortgage Loan Seller:,Mortgage Loan Seller:,Rialto,Rialto,Rialto,,Single Asset/Portfolio:,Single Asset,Single Asset
Credit Assessment (Fitch/MDBRS/Moody’s):,Credit Assessment (Fitch/MDBRS/Moody’s):,NR/NR/NR,NR/NR/NR,NR/NR/NR,,Location:,"New York, NY 10027","New York, NY 10027"
Original Balance(1):,Original Balance(1):,"$59,000,000","$59,000,000","$59,000,000",,General Property Type:,Retail,Retail
Cut-off Date Balance(1):,Cut-off Date Balance(1):,"$59,000,000","$59,000,000","$59,000,000",,Detailed Property Type:,Anchored,Anchored
% of Initial Pool Balance:,% of Initial Pool Balance:,9.5%,9.5%,9.5%,,Title Vesting:,Fee,Fee
Loan Purpose:,Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,2016/NAP,2016/NAP
Borrower Sponsors:,Borrower Sponsors:,"Wharton Properties, Gindi Capital and Schottenstein Property Group","Wharton Properties, Gindi Capital and Schottenstein Property Group","Wharton Properties, Gindi Capital and Schottenstein Property Group",,Size:,"172,070 SF","172,070 SF"
Guarantors:,Guarantors:,"Jeff Sutton, Eli Gindi and Schottenstein Realty LLC","Jeff Sutton, Eli Gindi and Schottenstein Realty LLC","Jeff Sutton, Eli Gindi and Schottenstein Realty LLC",,Cut-off Date Balance Per SF(1):,$581,$581
Mortgage Rate:,Mortgage Rate:,5.6570%,5.6570%,5.6570%,,Maturity Date Balance Per SF(1):,$581,$581
Note Date:,Note Date:,7/29/2025,7/29/2025,7/29/2025,,Property Manager:,Wharton Properties LLC,Wharton Properties LLC
Maturity Date:,Maturity Date:,8/6/2030,8/6/2030,8/6/2030,,,(borrower-related),(borrower-related)
Term to Maturity:,Term to Maturity:,60 months,60 months,60 months,,Underwriting and Financial Information,Underwriting and Financial Information,Underwriting and Financial Information
Amortization Term:,Amortization Term:,0 months,0 months,0 months,,UW NOI:,"$7,983,020","$7,983,020"
IO Period:,IO Period:,60 months,60 months,60 months,,UW NCF:,"$7,776,536","$7,776,536"
Seasoning:,Seasoning:,2 months,2 months,2 months,,UW NOI Debt Yield(1):,8.0%,8.0%
Prepayment Provisions:,Prepayment Provisions:,"L(26),D(27),O(7)","L(26),D(27),O(7)","L(26),D(27),O(7)",,UW NCF Debt Yield(1):,7.8%,7.8%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Hard/Springing,Hard/Springing,Hard/Springing,,UW NOI Debt Yield at Maturity(1):,8.0%,8.0%
Additional Debt Type(1):,Additional Debt Type(1):,Pari Passu,Pari Passu,Pari Passu,,UW NCF DSCR(1):,1.36x,
Additional Debt Balance(1):,Additional Debt Balance(1):,"$41,000,000","$41,000,000","$41,000,000",,Most Recent NOI:,"$8,150,793 (3/31/2025 TTM)","$8,150,793 (3/31/2025 TTM)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,2nd Most Recent NOI:,"$8,151,993 (12/31/2024)","$8,151,993 (12/31/2024)"
Reserves(2),Reserves(2),Reserves(2),Reserves(2),Reserves(2),,3rd Most Recent NOI:,"$8,040,868 (12/31/2023)","$8,040,868 (12/31/2023)"
Type,Initial,Initial,Monthly,Cap,,Most Recent Occupancy:,100.0% (3/31/2025),100.0% (3/31/2025)
RE Taxes:,$0,$0,Springing,NAP,,2nd Most Recent Occupancy:,100.0% (12/31/2024),100.0% (12/31/2024)
Insurance:,$0,$0,Springing,NAP,,3rd Most Recent Occupancy:,100.0% (12/31/2023),100.0% (12/31/2023)
Replacement Reserve:,$0,$0,Springing,NAP,,Appraised Value (as of):,"$145,100,000 (5/13/2025)","$145,100,000 (5/13/2025)"
Deferred Maintenance:,"$53,131","$53,131",$0,NAP,,Appraised Value PSF:,$843,$843
,,,,,,Cut-off Date LTV Ratio(1):,68.9%,68.9%
,,,,,,Maturity Date LTV Ratio(1):,68.9%,68.9%
,,,,,,,,
