0,1,2,3,4,5,6
Class of Certificates,Low Estimate of  Fair Value,Low Estimate of  Fair Value,Base Case  Fair Value,Base Case  Fair Value,High Estimate of  Fair Value,High Estimate of  Fair Value
Class A-1,$,3944996,$,3944993,$,3944938
Class A-2,$,100997764,$,100999770,$,100997993
Class A-3,$,286785161,$,286779086,$,286779665
Class X-A,$,13815681,$,20366329,$,24991151
Class X-B,$,1173843,$,3156955,$,4681003
Class A-S,$,40790454,$,40790489,$,40791000
Class B,$,30946230,$,30946026,$,30945166
Class C,$,23214158,$,23214799,$,23214480
Class X-D,$,1969904,$,1997734,$,2020033
Class X-E,$,886816,$,886816,$,886816
Class D,$,17996032,$,18458549,$,18835340
Class E,$,9039301,$,9039301,$,9039301
Class F-RR,$,4554315,$,4554315,$,4554315
Class G-RR,$,12331021,$,12331021,$,12331021
