0,1,2,3,4
,,Fair Value  (in millions),,Fair Value  (as a percentage of the aggregate fair  value of the Notes and Certificates)
Class A-1 Notes,,$180.0,,12.0%
Class A-2a Notes,,$239.3,,15.9% - 16.0%
Class A-2b Notes,,$239.3,,15.9% - 16.0%
Class A-3 Notes,,$478.5,,31.9% - 32.0%
Class A-4 Notes,,$113.0,,7.5% - 7.6%
Certificates,,$246.7 - $251.0,,16.5% - 16.7%
Total,,"$1,496.7 - $1,501.0",,100.0%
