0,1,2,3,4,5,6,7
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Mortgaged Property Information,Mortgaged Property Information
Mortgage Loan Seller:,Mortgage Loan Seller:,MSMCH,MSMCH,MSMCH,,Single Asset/Portfolio:,Portfolio
,,,,,,Location(3):,"Various, Various"
Original Balance(1):,Original Balance(1):,"$85,000,000","$85,000,000","$85,000,000",,General Property Type:,Manufactured Housing
Cut-off Date Balance(1):,Cut-off Date Balance(1):,"$85,000,000","$85,000,000","$85,000,000",,Detailed Property Type(3):,Various
% of Initial Pool Balance:,% of Initial Pool Balance:,9.97%,9.97%,9.97%,,Title Vesting:,Fee
Loan Purpose:,Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated(3):,Various/NAP
Borrower Sponsor:,Borrower Sponsor:,"Manufactured Housing Properties, Inc.","Manufactured Housing Properties, Inc.","Manufactured Housing Properties, Inc.",,Size:,"3,019 Pads"
Guarantors:,Guarantors:,"Raymond M. Gee, Gee Family Dynasty","Raymond M. Gee, Gee Family Dynasty","Raymond M. Gee, Gee Family Dynasty",,Cut-off Date Balance per Pad(1):,"$54,654"
,,"Trust, Raymond M. Gee Irrevocable","Trust, Raymond M. Gee Irrevocable","Trust, Raymond M. Gee Irrevocable",,Maturity Date Balance per Pad(1):,"$54,654"
,,"Trust Dated December 15, 2017,","Trust Dated December 15, 2017,","Trust Dated December 15, 2017,",,Property Manager:,Valleo Residential LLC
,,"Mariana Vega Ortega Irrevocable Trust,","Mariana Vega Ortega Irrevocable Trust,","Mariana Vega Ortega Irrevocable Trust,",,,(borrower-affiliated)
,,Leonardo Gee Irrevocable Trust and,Leonardo Gee Irrevocable Trust and,Leonardo Gee Irrevocable Trust and,,,
,,Alexander Gee Irrevocable Trust,Alexander Gee Irrevocable Trust,Alexander Gee Irrevocable Trust,,,
Mortgage Rate:,Mortgage Rate:,6.0200%,6.0200%,6.0200%,,,
Note Date:,Note Date:,4/30/2026,4/30/2026,4/30/2026,,Underwriting and Financial Information,Underwriting and Financial Information
Maturity Date:,Maturity Date:,5/1/2031,5/1/2031,5/1/2031,,UW NOI:,"$13,367,748"
Term to Maturity:,Term to Maturity:,60 months,60 months,60 months,,UW NCF:,"$13,187,998"
Amortization Term:,Amortization Term:,0 months,0 months,0 months,,UW NOI Debt Yield(1):,8.1%
IO Period:,IO Period:,60 months,60 months,60 months,,UW NCF Debt Yield(1):,8.0%
Seasoning:,Seasoning:,1 month,1 month,1 month,,UW NOI Debt Yield at Maturity(1):,8.1%
Prepayment Provisions:,Prepayment Provisions:,"L(23),YM1(30),O(7)","L(23),YM1(30),O(7)","L(23),YM1(30),O(7)",,UW NCF DSCR(1):,1.31x
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Springing/Springing,Springing/Springing,Springing/Springing,,Most Recent NOI:,"$13,065,373 (3/31/2026 TTM)"
Additional Debt Type(1):,Additional Debt Type(1):,Pari Passu,Pari Passu,Pari Passu,,2nd Most Recent NOI:,"$12,381,638 (12/31/2025)"
Additional Debt Balance(1):,Additional Debt Balance(1):,"$80,000,000","$80,000,000","$80,000,000",,3rd Most Recent NOI:,"$11,023,967 (12/31/2024)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,Most Recent Occupancy:,81.7% (4/1/2026)
Reserves(2),Reserves(2),Reserves(2),Reserves(2),Reserves(2),,2nd Most Recent Occupancy:,79.9% (12/31/2025)
Type,Initial,Initial,Monthly,Cap,,3rd Most Recent Occupancy:,79.6% (12/31/2024)
RE Taxes:,"$275,160","$275,160","$53,341",NAP,,Appraised Value (as of)(4):,"$243,000,000 (2/1/2026)"
Insurance:,$0,$0,Springing,NAP,,Appraised Value per Pad(4):,"$80,490"
Deferred Maintenance:,"$582,579","$582,579",$0,NAP,,Cut-off Date LTV Ratio(1)(4):,67.9%
Replacement Reserve:,"$170,776","$170,776",Springing,"$170,776",,Maturity Date LTV Ratio(1)(4):,67.9%
,,,,,,,
