0,1,2,3,4,5,6
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information
Mortgage Loan Seller:,WFB,WFB,WFB,,Single Asset/Portfolio:,Portfolio
,,,,,Location:,"Various, Various"
Original Balance(1):,"$40,000,000","$40,000,000","$40,000,000",,General Property Type:,Self Storage
Cut-off Date Balance(1):,"$40,000,000","$40,000,000","$40,000,000",,Detailed Property Type:,Self Storage
% of Initial Pool Balance:,5.6%,5.6%,5.6%,,Title Vesting:,Fee
Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,Various/Various
Borrower Sponsor:,Etude Capital,Etude Capital,Etude Capital,,Size:,"1,710,607 SF"
Guarantor:,Steven Stein,Steven Stein,Steven Stein,,Cut-off Date Balance per SF(1):,$82
Mortgage Rate:,5.8080%,5.8080%,5.8080%,,Maturity Balance per SF(1):,$82
Note Date:,10/1/2025,10/1/2025,10/1/2025,,Property Managers:,"Cubesmart Asset Management,"
Maturity Date:,10/11/2030,10/11/2030,10/11/2030,,,LLC and Extra Space
Original Term to Maturity:,60 months,60 months,60 months,,,"Management, Inc."
Original Amortization Term:,0 months,0 months,0 months,,Underwriting and Financial Information,Underwriting and Financial Information
IO Period:,60 months,60 months,60 months,,UW NOI:,"$11,601,875"
Seasoning:,2 months,2 months,2 months,,UW NCF:,"$11,430,817"
Prepayment Provisions(2):,"YM1(26),DorYM1(27),O(7)","YM1(26),DorYM1(27),O(7)","YM1(26),DorYM1(27),O(7)",,UW NOI Debt Yield(1):,8.3%
Lockbox/Cash Mgmt Status:,Springing/Springing,Springing/Springing,Springing/Springing,,UW NCF Debt Yield(1):,8.2%
Additional Debt Type(1):,Pari Passu,Pari Passu,Pari Passu,,UW NOI Debt Yield at Maturity(1):,8.3%
Additional Debt Balance(1):,"$100,000,000","$100,000,000","$100,000,000",,UW NCF DSCR(1):,1.39x
Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,Most Recent NOI:,"$12,247,995 (7/31/2025 TTM)"
,,,,,2nd Most Recent NOI:,"$12,684,581 (12/31/2024)"
Reserves(3),Reserves(3),Reserves(3),Reserves(3),,3rd Most Recent NOI:,"$12,973,259 (12/31/2023)"
Type,Initial,Monthly,Cap,,Most Recent Occupancy:,88.7% (Various)
RE Taxes:,"$1,565,740","$172,973",NAP,,2nd Most Recent Occupancy:,87.3% (12/31/2024)
Insurance:,$0,Springing,NAP,,3rd Most Recent Occupancy:,88.3% (12/31/2023)
Replacement Reserve:,$0,"$14,260",NAP,,Appraised Value (as of)(4):,"$223,300,000 (6/24/2025)"
Deferred Maintenance:,"$405,565",$0,NAP,,Appraised Value PSF(4):,$131
Supplemental Tax Reserve Funds:,"$436,358",$0,NAP,,Cut-off Date LTV Ratio(1):,62.7%
,,,,,Maturity Date LTV Ratio(1):,62.7%
