0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes
Payment Date,,,0.00%,,0.50%,,1.00%,,1.30%,,1.50%,,1.80%
Closing Date,,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"February 15, 2025",,,80.67,,75.75,,70.17,,66.37,,63.48,,57.90
"March 15, 2025",,,72.88,,65.65,,57.43,,51.87,,47.66,,40.41
"April 15, 2025",,,65.05,,55.58,,44.85,,37.59,,32.16,,23.26
"May 15, 2025",,,57.16,,45.56,,32.42,,23.56,,16.97,,6.46
"June 15, 2025",,,49.22,,35.57,,20.14,,9.76,,2.11,,0.00
"July 15, 2025",,,41.23,,25.63,,8.01,,0.00,,0.00,,0.00
"August 15, 2025",,,33.18,,15.72,,0.00,,0.00,,0.00,,0.00
"September 15, 2025",,,25.08,,5.86,,0.00,,0.00,,0.00,,0.00
"October 15, 2025",,,17.17,,0.00,,0.00,,0.00,,0.00,,0.00
"November 15, 2025",,,9.21,,0.00,,0.00,,0.00,,0.00,,0.00
"December 15, 2025",,,1.19,,0.00,,0.00,,0.00,,0.00,,0.00
"January 15, 2026",,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
,,,,,,,,,,,,,
Weighted Average Life to Call (Years)(2),,,0.42,,0.32,,0.24,,0.20,,0.18,,0.15
Weighted Average Life to Maturity (Years)(2),,,0.42,,0.32,,0.24,,0.20,,0.18,,0.15
