0,1,2
"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association","Wells Fargo Bank, National Association"
Rep. No. on Annex D-1,Mortgage Loan and Number as Identified on Annex A-1,Description of Exception
,,conveyed pursuant to the purchase option unless all loan obligations have been repaid in full.
(12) Condition of Property,Target Sayville (Loan No. 15),"The borrower’s interest in the mortgaged property is a leased fee, where tenant constructed improvements at its own expense. No property condition assessment was required in connection with the loan origination."
(18) Insurance,80 International Drive (Loan No. 4),"The loan documents permit a property insurance deductible up to $250,000. The in-place property insurance provides for a $250,000 deductible."
(18) Insurance,ExchangeRight 71 (Loan No. 11),"The loan documents permit a property insurance deductible up to $100,000. Except for the tenant-provided property insurance at the Dollar General Market – Alexander (Alexander, AR) and Dollar General Market – Donna (Donna, TX) properties, which policy provides for a $1,000 deductible, the in-place property insurance for all other properties provides for a $25,000 deductible."
(18) Insurance,Target Sayville (Loan No. 15),"(i) Leased Fee. The entirety of the mortgaged property is a leased fee, where the related tenant (Target) or other non-borrower party constructed improvements and either maintains its own insurance or self-insures. Subject to applicable restoration obligations, casualty proceeds are payable to the ground lessee or other non-borrower party and/or its leasehold mortgagee. (ii) Tenant Self-Insurance. Borrower’s obligation, if any, to provide required insurance is suspended if, among other things, key tenant (Target Corporation) elects to self-insure in accordance with its lease and satisfies related conditions, including (i) the lease is in full force and effect, (ii) tenant’s satisfying related self-insurance provision under its lease, including maintaining a net worth of $100 million or greater; (iii) key tenant’s guarantor maintaining an investment grade credit rating (S&P “BBB-“/ Fitch “BBB-“/ Moody’s “Baa3”, as applicable); and (iv) the lease terms provide that there is no rent abatement following casualty."
(18) Insurance,2505 & 2533 Foster Ave (Loan No. 16),"Borrower’s obligation to provide required insurance is suspended if, among other things, key tenant (Rath Gibson) elects to self-insure in accordance with its lease and satisfies related conditions, including (i) the lease is in full force and effect, (ii) tenant’s satisfying related self-insurance provision under its lease, including tenant or lease guarantor’s maintaining an investment grade credit rating (S&P “BBB-“/ Fitch “BBB-“/ Moody’s “Baa3”, as applicable); and (iii) subject to tenant’s casualty-related option to purchase, the lease terms provide that there are no rent abatement or termination rights following casualty."
(28) Recourse Obligations,"All Wells Fargo Loans (Loan Nos. 4, 9, 11, 15, 16 and 21)","With respect to actions or events triggering recourse to the borrower or guarantor, the loan documents may provide additional qualifications or limitations, including those related to knowledge or intent, or recast the effect of a breach from springing recourse to a losses carve-out, in circumstances where, apart from identified bad acts of the borrower or guarantor, actions other than borrower-affiliated parties are involved, the property cash flow is inadequate for debt service or other required payments, the effect of the exercise of lender remedies restricts the borrower's access to adequate property cash flow for such purposes, inadequate property cash flow results in involuntary liens from other creditors, or there are lesser or time-limited violations of the triggering actions or events, including transfer violations that do not result in a property transfer or a change in control of the borrower, related to the borrower's inadvertent failure to provide adequate notice or timely or complete information otherwise required by the loan documents, or otherwise obtain necessary prior approval therefor."
(28) Recourse Obligations,Manhattan Gateway Shopping Center (Loan No. 9),Environmental Claims Sequencing. The mortgaged property is currently identified by the Los Angeles Regional Water Quality Control Board as a Cleanup Program Site with open remediation related to aerospace manufacturing operations conducted on-site by Fairchild Industries Inc. between 1955 and
