0,1,2,3,4,5,6
Competitive  Shopping Centers(1),Competitive  Shopping Centers(1),Competitive  Shopping Centers(1),Competitive  Shopping Centers(1),Competitive  Shopping Centers(1),Competitive  Shopping Centers(1),Competitive  Shopping Centers(1)
Property  Name/Location,Year  Built/Renovated,Total  NRA (SF),Anchor  NRA (SF),Occupancy  (%),Distance  from Property (miles),Anchor  Tenant(s)
"Plaza at Landmark  6198-6244 Little River Turnpike  Alexandria, VA",1974 / 2020,"437,273(2)","283,335(2)",98.3%(2),NAP,Giant  Hobby Lobby  LA Fitness  Marshall’s  Ross Dress for Less  Total Wine and More  Overstock Furniture
"Grand Mart  6229 Little River Turnpike  Alexandria, VA",1968 / 2013,65330,23800,100.0%,0.1,New Grand Mart
"Van Dorn Plaza  229 Little River Turnpike  Alexandria, VA",1979 / NAP,128138,47443,100.0%,0.8,Safeway  CVS Pharmacy
"Shoppes at Foxchase  4513 Duke Street  Alexandria, VA",1959 / 2006,195066,55635,100.0%,1.7,Harris Teeter
"The Shops at Mark Center  1400 North Beuregard Street  Alexandria, VA",1973 / NAP,66000,32809,97.0%,1.3,Global Foods
"Seminary Plaza  4500 Kenmore Avenue  Alexandria, VA",1964 / NAP,94525,20318,100.0%,2.1,Aldi  CVS Pharmacy
"Bradlee Shopping Center  3610 King Street  Alexandria, VA",1955 / 1999,170922,56097,100.0%,3.4,The Fresh Market  Michael’s  Walgreens
"Barcroft Plaza  6341 Columbia Pike  Falls Church, VA",1960 / 1999,108641,45500,100.0%,1.5,Harris Teeter
