0,1,2,3,4,5
Competitive Set(1),Competitive Set(1),Competitive Set(1),Competitive Set(1),Competitive Set(1),Competitive Set(1)
Property Name,Year Built / Renovated,Total NRA,Total Occupancy,Anchor / Major Tenants,Distance to Mall at Bay Plaza
Mall at Bay Plaza,2014/NAP,"695,857(2)",91.6%(2),"JCPenney, Macy's, Zara, H&M",NAP
Bay Plaza Community Center,1988/2013,568813,91.0%,"AMC Theaters, Stop & Shop",0.3 miles North
Bay Plaza Shopping Center,1988/NAP,864327,98.0%,"Marshalls, PC Richards & Son, Staples, Ashley's Home Store",0.3 miles Southeast
Throggs Neck Shopping Center,2013/NAP,473312,99.0%,Target,2.0 miles Southeast
Bruckner Commons,1964/1989,508106,99.0%,"BJ's Wholesale Club, Burlington, ShopRite",4.6 miles Southwest
Cross County Shopping Center,1954/1996,938368,100.0%,"Macy's, Target, Stop & Shop, Showcase Cinema",8.0 miles Northwest
Concourse Plaza,1990/2016,245633,95.0%,"Regal Cinemas, Food Bazaar",8.3 miles Southwest
Bronx Terminal Market,2009/NAP,918537,97.0%,"Target, BJ's Wholesale Club, Home Depot",9.6 miles Southwest
Ridge Hill,2011/NAP,1113071,100.0%,"Lowe's, Wayfair, Showcase Cinema, LA Fitness, Whole Foods Market, Dick's Sporting Goods",9.9 miles Northwest
Weighted Average,,,97.9%(3),,
