0,1,2
Number of receivables,,70633
Average principal balance,,"$24,455.94"
Range of principal balances,,"$1,000.06 to $70,480.24"
Weighted average annual percentage rate(1),,5.00%
Range of annual percentage rates,,0.90% to 24.29%
Weighted average original term to maturity(1),,61.60 months
Range of original terms to maturity,,24 months to 72 months
Weighted average remaining term to maturity(1),,50.29 months
Range of remaining terms to maturity,,7 months to 70 months
Percentage of aggregate principal balance,,
of receivables for new/used vehicles,,86.42%/13.58%
