0,1,2
Cash Flow Analysis(1),Cash Flow Analysis(1),Cash Flow Analysis(1)
,UW(1)(2),UW PSF
Base Rent,"$8,430,777",$13.50
Contractual Rent Steps,$0,$0.00
Reimbursements,"$247,326",$0.40
Gross Potential Income,"$8,678,103",$13.90
(Vacancy / Credit Loss),"(433,905)",($0.69)
Effective Gross Income,"$8,244,198",$13.20
,,
Management Fee,"$247,326",$0.40
Other Expenses,$0,$0.00
Total Expenses(3),"$247,326",$0.40
,,
Net Operating Income,"$7,996,872",$12.81
Replacement Reserves,"$62,450",$0.10
Net Cash Flow,"$7,934,422",$12.71
,,
Occupancy (%),95.0%(5),
NOI DSCR(4),1.28x,
NCF DSCR(4),1.27x,
NOI Debt Yield(4),10.6%,
NCF Debt Yield(4),10.5%,
