0,1,2,3,4,5,6,7,8,9
Underwriter,Class A-1  Notes,,Class A-2a  Notes(1),,Class A-2b  Notes(1),,Class A-3  Notes,,Class A-4  Notes
MUFG Securities Americas Inc.,$________,,$__________,,$__________,,$__________,,$__________
"BofA Securities, Inc.",________,,__________,,__________,,__________,,__________
Credit Agricole Securities (USA) Inc.,________,,__________,,__________,,__________,,__________
CIBC World Markets Corp.,________,,__________,,__________,,__________,,__________
"SG Americas Securities, LLC",________,,__________,,__________,,__________,,__________
Total,"$167,000,000(2)",,$_____(3),,$_____(3),,"$416,500,000(2)",,"$100,000,000(2)"
