0,1,2,3,4,5,6,7
Loan Name,Mortgage Loan  Cut-off Date Balance,Approx. % of Initial  Pool Balance,Loan per SF/Unit/  Room(1),Loan per SF/Unit/  Room(1),U/W NCF DSCR(1),Cut-off Date  LTV Ratio(1)(2)(3),Property Type
CityCenter (Aria & Vdara),"$75,000,000",9.8%,"$476,313",,4.46x,36.2%,Hospitality
Kirby Industrial,"$71,000,000",9.3%,$120,,1.28x,59.0%,Industrial
Cottage Cove Apartments,"$62,500,000",8.2%,"$186,966",,1.26x,69.9%,Multifamily
Columbus Park Crossing,"$60,000,000",7.8%,$102,,1.72x,67.3%,Retail
Olive Industrial 4-Pack,"$52,166,000",6.8%,$46,,1.21x,71.6%,Industrial
Commerce Office Park,"$45,000,000",5.9%,$158,,1.87x,59.3%,Office
Haven Leased Fee Portfolio,"$40,000,000",5.2%,$73,,1.10x,76.3%,Other
136 Madison,"$40,000,000",5.2%,$195,,3.18x,37.1%,Office
The Bluffs,"$38,000,000",5.0%,"$69,853",,1.56x,59.2%,Multifamily
Aura Hotel Times Square,"$33,000,000",4.3%,"$141,026",,1.97x,36.3%,Hospitality
770 The City Drive,"$26,000,000",3.4%,$139,,2.02x,65.5%,Office
Hampton Towne Centre,"$22,100,000",2.9%,$136,,1.40x,67.2%,Retail
Empire Mall,"$20,000,000",2.6%,$117,,2.24x,59.4%,Retail
Calder Square Apartments,"$19,600,000",2.6%,"$119,512",,1.23x,71.0%,Multifamily
Colonial Pointe,"$17,250,000",2.3%,"$72,479",,1.35x,55.8%,Multifamily
Top  3 Total/Weighted Average,"$208,500,000",27.2%,,,2.42x,54.1%,
Top  5 Total/Weighted Average,"$320,666,000",41.9%,,,2.09x,59.4%,
Top  15 Total/Weighted Average,"$621,616,000",81.1%,,,1.97x,58.6%,
