0,1,2
Number of receivables,,74011
Average principal balance,,"$23,339.73"
Range of principal balances,,"$1,000.15 to $83,049.27"
Weighted average annual percentage rate(1),,4.96%
Range of annual percentage rates,,0.50% to 24.54%
Weighted average original term to maturity(1),,61.72 months
Range of original terms to maturity,,24 months to 72 months
Weighted average remaining term to maturity(1),,50.39 months
Range of remaining terms to maturity,,7 months to 70 months
Percentage of aggregate principal balance of receivables for new/used vehicles,,86.38%/13.62%
