0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
,,New,New,,,Used,Used,,,Total,Total,
Aggregate Outstanding Principal Balance,,$,728762474.58,,,$,1519994636.79,,,$,2248757111.37,
Number of Receivables,,,25413,,,,73647,,,,99060,
Percentage of Aggregate Outstanding Principal Balance,,,32.41,%,,,67.59,%,,,100.00,%
Average Outstanding Principal Balance,,$,28676.76,,,$,20638.92,,,$,22700.96,
Range of Outstanding Principal Balances,,$,"549.47 to $111,783.54",,,$,"501.01 to $97,980.67",,,$,"501.01 to $111,783.54",
Weighted Average Contract Rate(1),,,15.15,%,,,19.46,%,,,18.06,%
Range of Contract Rates,,,0.00% to 29.99,%,,,0.00% to 29.99,%,,,0.00% to 29.99,%
Weighted Average Remaining Term(1),,,64 months,,,,65 months,,,,65 months,
Range of Remaining Terms(2),,,4 months to 75 months,,,,4 months to 75 months,,,,4 months to 75 months,
Weighted Average Original Term(1),,,72 months,,,,71 months,,,,72 months,
Range of Original Terms(2),,,12 months to 75 months,,,,12 months to 75 months,,,,12 months to 75 months,
