0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Payment Date,,,0.50%,,,,1.00%,,,,1.50%,,,,2.00%,,,,2.50%,
Closing Date,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
August 2026,,,87.45,%,,,84.39,%,,,75.14,%,,,57.29,%,,,54.21,%
September 2026,,,74.33,%,,,68.00,%,,,51.55,%,,,34.95,%,,,28.52,%
October 2026,,,61.25,%,,,51.80,%,,,32.25,%,,,15.70,%,,,7.29,%
November 2026,,,48.24,%,,,35.85,%,,,16.16,%,,,0.59,%,,,0.00,%
December 2026,,,36.64,%,,,23.42,%,,,2.20,%,,,0.00,%,,,0.00,%
January 2027,,,27.19,%,,,11.65,%,,,0.00,%,,,0.00,%,,,0.00,%
February 2027,,,17.77,%,,,0.04,%,,,0.00,%,,,0.00,%,,,0.00,%
March 2027,,,8.37,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
April 2027,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
Weighted Average Life to Optional Purchase (years)(1),,,0.35,,,,0.27,,,,0.19,,,,0.13,,,,0.12,
Weighted Average Life to Maturity (years)(1),,,0.35,,,,0.27,,,,0.19,,,,0.13,,,,0.12,
