0,1,2,3,4
,,Initial Note  Balance(1),,Interest Rate
Class A-1a Notes,,"$623,706,000  (aggregate)(2)",,%(3)
Class A-1b Notes,,"$623,706,000  (aggregate)(2)",,Compounded SOFR + %(3)(4)
Class B Notes,,"$47,684,000",,%(3)
Class C Notes,,"$28,610,000",,%(3)
