0,1,2,3,4,5,6
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Mortgaged Property Information,Mortgaged Property Information
Mortgage Loan Seller:,Mortgage Loan Seller:,AREF2,AREF2,,Single Asset/Portfolio:,Portfolio
,,,,,Location:,"Various, NJ Various"
Original Balance:,Original Balance:,"$15,500,000","$15,500,000",,General Property Type:,Retail
Cut-off Date Balance:,Cut-off Date Balance:,"$15,500,000","$15,500,000",,Detailed Property Type:,Various
% of Initial Pool Balance:,% of Initial Pool Balance:,2.3%,2.3%,,Title Vesting:,Fee
Loan Purpose:,Loan Purpose:,Acquisition/Refinance,Acquisition/Refinance,,Year Built/Renovated(3):,Various/Various
Borrower Sponsors:,Borrower Sponsors:,"Eduard Shnayder, Aaron Polinsky","Eduard Shnayder, Aaron Polinsky",,Size:,"142,220 SF"
,,and Phillip Shelby,and Phillip Shelby,,Cut-off Date Balance PSF:,$109
Guarantors:,Guarantors:,"Eduard Shnayder, Aaron Polinsky","Eduard Shnayder, Aaron Polinsky",,Maturity Balance PSF:,$109
,,and Phillip Shelby,and Phillip Shelby,,Property Manager:,Western Building Company Inc.
Mortgage Rate:,Mortgage Rate:,7.2100%,7.2100%,,,(affiliated)
Note Date:,Note Date:,9/8/2025,9/8/2025,,,
Maturity Date:,Maturity Date:,10/6/2035,10/6/2035,,,
Term to Maturity:,Term to Maturity:,120 months,120 months,,Underwriting and Financial Information,Underwriting and Financial Information
Amortization Term:,Amortization Term:,0 months,0 months,,UW NOI:,"$2,005,741"
IO Period:,IO Period:,120 months,120 months,,UW NCF,"$1,832,686"
Seasoning:,Seasoning:,0 months,0 months,,UW NOI Debt Yield:,12.9%
Prepayment Provisions:,Prepayment Provisions:,"L(24),D(91),O(5)","L(24),D(91),O(5)",,UW NCF Debt Yield:,11.8%
Lockbox/Cash Mgmt Status(1):,Lockbox/Cash Mgmt Status(1):,Hard/In Place,Hard/In Place,,UW NOI Debt Yield at Maturity:,12.9%
Additional Debt Type:,Additional Debt Type:,NAP,NAP,,UW NCF DSCR:,1.62x
Additional Debt Balance:,Additional Debt Balance:,NAP,NAP,,Most Recent NOI:,"$1,864,240 (6/30/2025 TTM)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),,2nd Most Recent NOI:,"$1,622,487 (12/31/2024)"
Reserves(2),Reserves(2),Reserves(2),Reserves(2),,3rd Most Recent NOI:,"$1,329,272 (12/31/2023)"
Type,Initial,Monthly,Cap,,Most Recent Occupancy:,92.5% (8/26/2025)
RE Taxes:,"$113,031","$28,258",NAP,,2nd Most Recent Occupancy:,90.8% (12/31/2024)
Insurance:,"$35,755","$8,939",NAP,,3rd Most Recent Occupancy(4):,NAV
Replacement Reserve:,$0,"$2,607",NAP,,Appraised Value (as of)(5):,"$26,000,000 (Various)"
TI/LC Reserve:,"$300,000","$11,852",NAP,,Appraised Value per SF:,$183
,,,,,Cut-off Date LTV Ratio:,59.6%
,,,,,Maturity Date LTV Ratio:,59.6%
,,,,,,
