0,1,2,3
,Fair Value  (in millions),,Fair Value  (as a percentage of the aggregate fair value of the Notes and Certificates)
Class A-1 Notes,$205.0,,12.6%
Class A-2a Notes,$255.5,,15.6% - 15.7%
Class A-2b Notes,$255.5,,15.6% - 15.7%
Class A-3 Notes,$511.0,,31.3% - 31.4%
Class A-4 Notes,$123.0,,7.5% - 7.6%
Certificates,$277.8 - $282.9,,17.1% - 17.3%
Total,"$1,627.8 - $1,632.9",,100.0%
