0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution Date,,0.00%,0.00%,,,0.50%,0.50%,,,0.90%,0.90%,,,1.10%,1.10%,,,1.30%,1.30%,,,1.50%,1.50%,,,1.80%,1.80%,
Closing Date,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
04/15/24,,,80.31,%,,,75.85,%,,,71.43,%,,,68.72,%,,,65.39,%,,,60.77,%,,,37.97,%
05/15/24,,,72.18,%,,,65.63,%,,,59.17,%,,,55.21,%,,,50.38,%,,,43.73,%,,,15.58,%
06/15/24,,,63.99,%,,,55.45,%,,,47.05,%,,,41.94,%,,,35.71,%,,,27.21,%,,,0.00,%
07/15/24,,,55.74,%,,,45.31,%,,,35.09,%,,,28.89,%,,,21.39,%,,,11.22,%,,,0.00,%
08/15/24,,,47.44,%,,,35.21,%,,,23.29,%,,,16.09,%,,,7.41,%,,,0.00,%,,,0.00,%
09/15/24,,,39.08,%,,,25.16,%,,,11.64,%,,,3.52,%,,,0.00,%,,,0.00,%,,,0.00,%
10/15/24,,,30.66,%,,,15.15,%,,,0.15,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
11/15/24,,,22.19,%,,,5.18,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
12/15/24,,,13.65,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
01/15/25,,,5.06,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
02/15/25,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Average Life (Years) to Call,,,0.45,,,,0.36,,,,0.30,,,,0.27,,,,0.24,,,,0.21,,,,0.13,
Weighted Average Life (Years) to Maturity,,,0.45,,,,0.36,,,,0.30,,,,0.27,,,,0.24,,,,0.21,,,,0.13,
