0,1,2
,,
Discount Option,,85.0
Premium Option,,86.0
Indemnification,,87.0
Collection and Other Servicing Procedures,,87.0
Outsourcing of Servicing,,88.0
New Issuances,,88.0
Collection Account,,90.0
Deposits in Collection Account,,90.0
Allocations,,91.0
Groups of Series,,92.0
Reallocations Among Different Series Within a Reallocation Group,,92.0
Sharing of Excess Finance Charge Collections Among Excess Allocation Series,,95.0
Sharing of Principal Collections Among Principal Sharing Series,,95.0
Paired Series,,96.0
Special Funding Account,,96.0
Funding Period,,97.0
Defaulted Receivables; Rebates and Fraudulent Charges,,97.0
Servicer Covenants,,98.0
Certain Matters Regarding the Servicer,,98.0
Servicer Default,,99.0
Evidence as to Compliance,,99.0
Transferor Insolvency,,100.0
Amendments,,101.0
Defeasance,,102.0
List of Certificateholders,,103.0
The Trustee,,103.0
Merger or Consolidation of the Transferor or the Servicer,,104.0
Assumption of the Transferor’s Obligations,,105.0
Description of the Purchase Agreement,,106.0
Sale of Receivables,,106.0
Representations and Warranties,,107.0
Repurchase Obligations,,107.0
Reassignment of Other Receivables,,108.0
Modifications,,108.0
Amendments,,109.0
Termination,,109.0
Asset Representations Review,,109.0
Delinquency Event,,109.0
Voting Event,,111.0
Asset Representations Review Process,,111.0
Asset Representations Reviewer,,112.0
Other Matters Relating to the Asset Representations Reviewer,,112.0
Certain Legal Aspects of the Receivables,,113.0
Certain Regulatory Matters,,113.0
Consumer Financial Products Regulation,,113.0
Legal Proceedings,,115.0
Tax Matters,,116.0
Federal Income Tax Consequences — General,,116.0
Treatment of the Certificates as Debt,,116.0
Description of Opinions,,117.0
Treatment of the Trust,,117.0
Taxation of U.S. Certificate Owners,,119.0
Foreign Certificate Owners,,120.0
Backup Withholding and Information Reporting,,122.0
Foreign Account Tax Compliance Act,,122.0
State and Local Taxation,,122.0
