0,1,2,3,4,5,6,7
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Mortgaged Property Information,Mortgaged Property Information
Mortgage Loan Seller:,Mortgage Loan Seller:,AREF2,AREF2,AREF2,,Single Asset/Portfolio:,Portfolio
,,,,,,Location(4):,"Various, Various"
Original Balance:,Original Balance:,"$41,000,000","$41,000,000","$41,000,000",,General Property Type:,Industrial
Cut-off Date Balance:,Cut-off Date Balance:,"$41,000,000","$41,000,000","$41,000,000",,Detailed Property Type:,Flex
% of Initial Pool Balance:,% of Initial Pool Balance:,6.0%,6.0%,6.0%,,Title Vesting:,Fee
Loan Purpose(1):,Loan Purpose(1):,Acquisition/Refinance/  Recapitalization,Acquisition/Refinance/  Recapitalization,Acquisition/Refinance/  Recapitalization,,Year Built/Renovated(4):,Various / Various
Borrower Sponsors(2):,Borrower Sponsors(2):,Various,Various,Various,,Size:,"509,914 SF"
Guarantor:,Guarantor:,"Nancy Dondero, as Family Trustee of the Dugaboy Investment Trust dated November 15, 2010","Nancy Dondero, as Family Trustee of the Dugaboy Investment Trust dated November 15, 2010","Nancy Dondero, as Family Trustee of the Dugaboy Investment Trust dated November 15, 2010",,Cut-off Date Balance PSF:,$80
Mortgage Rate:,Mortgage Rate:,5.7080%,5.7080%,5.7080%,,Maturity Balance PSF:,$80
Note Date:,Note Date:,9/4/2025,9/4/2025,9/4/2025,,Property Manager:,"WMG Small Bay Management, LLC (affiliated)"
Maturity Date:,Maturity Date:,9/6/2035,9/6/2035,9/6/2035,,,"WMG Small Bay Management, LLC (affiliated)"
Term to Maturity:,Term to Maturity:,120 months,120 months,120 months,,Underwriting and Financial Information,Underwriting and Financial Information
Amortization Term:,Amortization Term:,0 months,0 months,0 months,,UW NOI:,"$4,790,376"
IO Period:,IO Period:,120 months,120 months,120 months,,UW NCF,"$4,444,419"
Seasoning:,Seasoning:,1 month,1 month,1 month,,UW NOI Debt Yield:,11.7%
Prepayment Provisions:,Prepayment Provisions:,"L(25),D(91),O(4)","L(25),D(91),O(4)","L(25),D(91),O(4)",,UW NCF Debt Yield:,10.8%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Hard (Master Lessee); Soft (Other)/Springing,Hard (Master Lessee); Soft (Other)/Springing,Hard (Master Lessee); Soft (Other)/Springing,,UW NOI Debt Yield at Maturity:,11.7%
Additional Debt Type:,Additional Debt Type:,NAP,NAP,NAP,,UW NCF DSCR:,1.87x
Additional Debt Balance:,Additional Debt Balance:,NAP,NAP,NAP,,Most Recent NOI:,"$4,841,939 (7/31/2025 TTM)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,2nd Most Recent NOI:,"$4,323,166 (12/31/2024)"
Reserves(3),Reserves(3),Reserves(3),Reserves(3),Reserves(3),,3rd Most Recent NOI:,"$4,174,063 (12/31/2023)"
Type,Initial,Initial,Monthly,Cap,,Most Recent Occupancy:,92.0% (9/1/2025)
RE Taxes:,"$836,561","$836,561","$92,951",NAP,,2nd Most Recent Occupancy:,90.5% (12/31/2024)
Insurance:,"$522,789","$522,789","$40,215",NAP,,3rd Most Recent Occupancy:,92.5% (12/31/2023)
Immediate Repairs:,"$408,281","$408,281",$0,NAP,,Appraised Value (as of)(5):,"$70,200,000 (Various)"
Replacement Reserve:,"$200,000","$200,000",Springing,"$200,000",,Appraised Value per SF:,$138
TI/LC Reserve:,"$4,500,000","$4,500,000",Springing,"$4,000,000",,Cut-off Date LTV Ratio:,58.4%
,,,,,,Maturity Date LTV Ratio:,58.4%
,,,,,,,
