0,1,2,3,4,5,6,7
Class of Securities,,Range of Fair Values (in millions),Range of Fair Values (in millions),,,Range of Fair Values  (as a percentage of the fair values  of the Notes and the certificates),
Class A Notes,,$,920.26,,,89.4% - 89.9,%
Class B Notes,,$,28.87,,,2.8,%
Class C Notes,,$,14.48,,,1.4,%
Fair Value of the Notes,,$,963.61,,,93.6% - 94.1,%
Certificates,,$,60.02 - $65.71,,,5.9% - 6.4,%
Total,,$,"1,023.62 - $1,029.32",,,100.0,%
Reserve Account,,$,2.41,,,0.2,%
Fair Value of the Certificates and Reserve Account,,$,62.43 - $68.12,,,6.1% - 6.6,%
