0,1,2,3
,Fair Value  (in millions),,Fair Value  (as a percentage of the aggregate fair value of the Notes and Certificates)
Class A-1 Notes,$167.0,,12.6%
Class A-2a Notes,$208.3,,15.7%
Class A-2b Notes,$208.3,,15.7%
Class A-3 Notes,$416.5,,31.3% - 31.4%
Class A-4 Notes,$100.0,,7.5%
Certificates,$226.4 - $230.5,,17.1% - 17.3%
Total,"$1,326.4 - $1,330.5",,100.0%
