0,1,2,3,4,5,6,7,8,9,10,11,12
Payment  Date,,0.50%,,1.00%,,1.30%,,1.50%,,1.70%,,2.00%
Closing Date,,100.00%,,100.00%,,100.00%,,100.00%,,100.00%,,100.00%
"November 15, 2024",,100.00%,,100.00%,,100.00%,,100.00%,,100.00%,,100.00%
"December 15, 2024",,100.00%,,100.00%,,100.00%,,100.00%,,100.00%,,100.00%
"January 15, 2025",,100.00%,,100.00%,,100.00%,,100.00%,,100.00%,,100.00%
"February 15, 2025",,100.00%,,100.00%,,100.00%,,100.00%,,100.00%,,100.00%
"March 15, 2025",,100.00%,,100.00%,,100.00%,,100.00%,,100.00%,,92.47%
"April 15, 2025",,100.00%,,100.00%,,100.00%,,95.70%,,89.79%,,79.97%
"May 15, 2025",,100.00%,,99.71%,,91.25%,,85.15%,,78.62%,,67.83%
"June 15, 2025",,100.00%,,90.75%,,81.50%,,74.85%,,67.74%,,56.04%
"July 15, 2025",,96.86%,,81.92%,,71.95%,,64.80%,,57.17%,,44.63%
"August 15, 2025",,89.31%,,73.34%,,62.69%,,55.06%,,46.92%,,33.57%
"September 15, 2025",,81.81%,,64.89%,,53.62%,,45.55%,,36.96%,,22.89%
"October 15, 2025",,74.36%,,56.57%,,44.74%,,36.28%,,27.28%,,12.57%
"November 15, 2025",,66.96%,,48.39%,,36.06%,,27.25%,,17.89%,,2.62%
"December 15, 2025",,59.60%,,40.34%,,27.57%,,18.46%,,8.79%,,0.00%
"January 15, 2026",,52.30%,,32.43%,,19.28%,,9.91%,,0.00%,,0.00%
"February 15, 2026",,45.05%,,24.66%,,11.19%,,1.60%,,0.00%,,0.00%
"March 15, 2026",,37.84%,,17.03%,,3.29%,,0.00%,,0.00%,,0.00%
"April 15, 2026",,30.69%,,9.53%,,0.00%,,0.00%,,0.00%,,0.00%
"May 15, 2026",,23.59%,,2.17%,,0.00%,,0.00%,,0.00%,,0.00%
"June 15, 2026",,17.03%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%
"July 15, 2026",,10.53%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%
"August 15, 2026",,4.07%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%
"September 15, 2026",,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%
,,,,,,,,,,,,
Weighted  Average Life To Maturity (years)(1)(2),,1.30,,1.09,,0.98,,0.90,,0.83,,0.74
Weighted  Average Life To Call (years)(1)(3),,1.30,,1.09,,0.98,,0.90,,0.83,,0.74
