0,1,2
Starwood Mortgage Capital LLC,Starwood Mortgage Capital LLC,Starwood Mortgage Capital LLC
Rep. No. on Annex D-1,Mortgage Loan and Number as Identified on Annex A-1,Description of Exception
(26) Local Law Compliance,Houston Multifamily Portfolio (Loan No. 17),"The Vista Oaks Apartments Mortgaged Property, Oaks at Nassau Bay Mortgaged Property and Broadway Village Apartments Mortgaged Property are the subject of certain building code violations."
(27) Licenses and Permits,Houston Multifamily Portfolio (Loan No. 17),The Broadway Village Apartments Mortgaged Property does not have certificates of occupancy on file.
