0,1,2,3,4,5,6,7,8,9,10,11,12
,,Gross Charge-off  Current Period,Gross Charge-off  Current Period,,,Recoveries,,Net Charge-off,,Cumulative Net  Charge-off,Cumulative Net  Charge-off,
21-Apr,,$,9836.99,,,$0.00,,"$9,836.99",,,0.00,%(2)
21-May,,$,132008.91,,,$0.00,,"$132,008.91",,,0.01,%
21-Jun,,$,313243.84,,,"($45,204.43)",,"$268,039.41",,,0.03,%
21-Jul,,$,378201.50,,,"($192,865.35)",,"$185,336.15",,,0.04,%
21-Aug,,$,539980.79,,,"($88,066.98)",,"$451,913.81",,,0.08,%
21-Sep,,$,739839.70,,,"($187,682.69)",,"$552,157.01",,,0.12,%
21-Oct,,$,725292.38,,,"($189,327.54)",,"$535,964.84",,,0.16,%
21-Nov,,$,809338.50,,,"($340,382.39)",,"$468,956.11",,,0.19,%
21-Dec,,$,586027.24,,,"($558,248.24)",,"$27,779.00",,,0.19,%
22-Jan,,$,675736.80,,,"($253,413.45)",,"$422,323.35",,,0.23,%
22-Feb,,$,770733.69,,,"($400,309.53)",,"$370,424.16",,,0.25,%
22-Mar,,$,632018.47,,,"($538,172.11)",,"$93,846.36",,,0.26,%
22-Apr,,$,464803.03,,,"($345,010.33)",,"$119,792.70",,,0.27,%
22-May,,$,481871.66,,,"($292,747.90)",,"$189,123.76",,,0.28,%
22-Jun,,$,808921.99,,,"($235,991.99)",,"$572,930.00",,,0.33,%
22-Jul,,$,628594.93,,,"($322,954.72)",,"$305,640.21",,,0.35,%
22-Aug,,$,707821.95,,,"($323,468.73)",,"$384,353.22",,,0.38,%
22-Sep,,$,657185.76,,,"($387,527.12)",,"$269,658.64",,,0.40,%
22-Oct,,$,816823.48,,,"($430,021.57)",,"$386,801.91",,,0.43,%
22-Nov,,$,655759.94,,,"($238,116.11)",,"$417,643.83",,,0.46,%
22-Dec,,$,467670.07,,,"($389,730.68)",,"$77,939.39",,,0.46,%
23-Jan,,$,619571.08,,,"($488,162.93)",,"$131,408.15",,,0.47,%
23-Feb,,$,603275.73,,,"($354,862.92)",,"$248,412.81",,,0.49,%
23-Mar,,$,378452.53,,,"($458,674.14)",,"($80,221.61)",,,0.48,%
23-Apr,,$,673568.01,,,"($355,552.08)",,"$318,015.93",,,0.51,%
23-May,,$,619348.83,,,"($437,191.82)",,"$182,157.01",,,0.52,%
23-Jun,,$,523138.23,,,"($380,710.45)",,"$142,427.78",,,0.53,%
23-Jul,,$,661497.13,,,"($230,927.01)",,"$430,570.12",,,0.56,%
23-Aug,,$,482166.78,,,"($466,685.84)",,"$15,480.94",,,0.56,%
23-Sep,,$,549208.22,,,"($332,829.12)",,"$216,379.10",,,0.58,%
23-Oct,,$,593448.14,,,"($260,269.10)",,"$333,179.04",,,0.60,%
23-Nov,,$,440234.92,,,"($237,625.05)",,"$202,609.87",,,0.62,%
23-Dec,,$,386978.31,,,"($365,583.90)",,"$21,394.41",,,0.62,%
24-Jan,,$,329632.19,,,"($282,757.50)",,"$46,874.69",,,0.63,%
24-Feb,,$,356948.77,,,"($243,884.21)",,"$113,064.56",,,0.63,%
24-Mar,,$,348067.80,,,"($266,381.27)",,"$81,686.53",,,0.64,%
