0,1,2,3,4,5,6,7
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information
Mortgage Loan Seller:,AREF2,AREF2,AREF2,AREF2,,Single Asset/Portfolio:,Single Asset
,,,,,,Location:,"Spring, TX 77386"
Original Balance:,"$33,000,000","$33,000,000","$33,000,000","$33,000,000",,General Property Type:,Multifamily
Cut-off Date Balance:,"$33,000,000","$33,000,000","$33,000,000","$33,000,000",,Detailed Property Type:,Garden
% of Initial Pool Balance:,6.0%,6.0%,6.0%,6.0%,,Title Vesting:,Fee
Loan Purpose:,Refinance,Refinance,Refinance,Refinance,,Year Built/Renovated:,1981/2023
Borrower Sponsors:,"Feras Moussa, Brian Murray, Benjamin Suttles and Brandon Turner","Feras Moussa, Brian Murray, Benjamin Suttles and Brandon Turner","Feras Moussa, Brian Murray, Benjamin Suttles and Brandon Turner","Feras Moussa, Brian Murray, Benjamin Suttles and Brandon Turner",,Size:,376 Units
Guarantors:,"Feras Moussa, Brian Murray, Benjamin Suttles and Brandon Turner","Feras Moussa, Brian Murray, Benjamin Suttles and Brandon Turner","Feras Moussa, Brian Murray, Benjamin Suttles and Brandon Turner","Feras Moussa, Brian Murray, Benjamin Suttles and Brandon Turner",,Cut-off Date Balance per Unit:,"$87,766"
Mortgage Rate:,6.8070%,6.8070%,6.8070%,6.8070%,,Maturity Date Balance per Unit:,"$87,766"
Note Date:,3/27/2026,3/27/2026,3/27/2026,3/27/2026,,Property Manager:,Emerge Living LLC (borrower-related)
Maturity Date:,4/6/2031,4/6/2031,4/6/2031,4/6/2031,,Underwriting and Financial Information,Underwriting and Financial Information
Term to Maturity:,60 months,60 months,60 months,60 months,,UW NOI:,"$2,819,334"
Amortization Term:,0 months,0 months,0 months,0 months,,UW NCF:,"$2,725,334"
IO Period:,60 months,60 months,60 months,60 months,,UW NOI Debt Yield:,8.5%
Seasoning:,2 months,2 months,2 months,2 months,,UW NCF Debt Yield:,8.3%
Prepayment Provisions:,"L(26),D(30),O(4)","L(26),D(30),O(4)","L(26),D(30),O(4)","L(26),D(30),O(4)",,UW NOI Debt Yield at Maturity:,8.5%
Lockbox/Cash Mgmt Status:,Soft/Springing,Soft/Springing,Soft/Springing,Soft/Springing,,UW NCF DSCR:,1.20x
Additional Debt Type:,NAP,NAP,NAP,NAP,,Most Recent NOI:,"$2,637,967 (1/31/2026 TTM)"
Additional Debt Balance:,NAP,NAP,NAP,NAP,,2nd Most Recent NOI:,"$2,415,351 (12/31/2024)"
Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),No (NAP),,3rd Most Recent NOI:,"$2,490,692 (12/31/2023)"
Reserves(1),Reserves(1),Reserves(1),Reserves(1),Reserves(1),,Most Recent Occupancy:,95.5% (2/27/2026)
Type,Type,Initial,Monthly,Cap,,2nd Most Recent Occupancy:,90.6% (12/31/2024)
RE Taxes:,RE Taxes:,"$266,287","$66,572",NAP,,3rd Most Recent Occupancy:,92.6% (12/31/2023)
Insurance:,Insurance:,"$139,395","$23,233",NAP,,Appraised Value (as of):,"$50,450,000 (12/15/2025)"
Replacement Reserve:,Replacement Reserve:,$0,"$7,888",NAP,,Appraised Value per Unit:,"$134,176"
Deferred Maintenance:,Deferred Maintenance:,"$85,000",$0,NAP,,Cut-off Date LTV Ratio:,65.4%
HVAC and Concrete Repairs Reserve:,HVAC and Concrete Repairs Reserve:,$0,"$6,667",NAP,,Maturity Date LTV Ratio:,65.4%
,,,,,,,
