0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,
Payment Date,,0.00%,0.00%,,,0.50%,0.50%,,,1.00%,1.00%,,,1.30%,1.30%,,,1.50%,1.50%,,,2.00%,2.00%,
Closing Date,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
April 2025,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
May 2025,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
June 2025,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
July 2025,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
August 2025,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
September 2025,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
October 2025,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
November 2025,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
December 2025,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
January 2026,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
February 2026,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
March 2026,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
April 2026,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,95.92,%
May 2026,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,86.83,%
June 2026,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,78.04,%
July 2026,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,69.58,%
August 2026,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,95.11,%,,,61.44,%
September 2026,,,100.00,%,,,100.00,%,,,100.00,%,,,99.85,%,,,87.87,%,,,53.60,%
October 2026,,,100.00,%,,,100.00,%,,,100.00,%,,,93.01,%,,,80.85,%,,,46.08,%
November 2026,,,100.00,%,,,100.00,%,,,100.00,%,,,86.35,%,,,74.06,%,,,38.88,%
December 2026,,,100.00,%,,,100.00,%,,,97.15,%,,,80.00,%,,,67.56,%,,,31.99,%
January 2027,,,100.00,%,,,100.00,%,,,91.16,%,,,73.83,%,,,61.27,%,,,25.42,%
February 2027,,,100.00,%,,,100.00,%,,,85.27,%,,,67.82,%,,,55.18,%,,,19.18,%
March 2027,,,100.00,%,,,100.00,%,,,79.49,%,,,61.96,%,,,49.29,%,,,13.58,%
April 2027,,,100.00,%,,,99.84,%,,,73.82,%,,,56.28,%,,,43.61,%,,,8.30,%
May 2027,,,100.00,%,,,94.26,%,,,68.25,%,,,50.75,%,,,38.13,%,,,3.30,%
June 2027,,,100.00,%,,,88.70,%,,,62.79,%,,,45.39,%,,,32.86,%,,,0.00,%
July 2027,,,100.00,%,,,83.17,%,,,57.44,%,,,40.20,%,,,27.80,%,,,0.00,%
August 2027,,,100.00,%,,,77.67,%,,,52.21,%,,,35.17,%,,,22.94,%,,,0.00,%
September 2027,,,94.43,%,,,72.20,%,,,47.08,%,,,30.32,%,,,18.30,%,,,0.00,%
October 2027,,,88.68,%,,,66.77,%,,,42.07,%,,,25.63,%,,,13.88,%,,,0.00,%
November 2027,,,82.90,%,,,61.37,%,,,37.18,%,,,21.12,%,,,9.66,%,,,0.00,%
December 2027,,,78.04,%,,,56.79,%,,,32.93,%,,,17.11,%,,,5.82,%,,,0.00,%
