0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2022-1,AART 2022-1,,,AART 2024-2,AART 2024-2,
Weighted Average APR,,,6.56,%,,,9.89,%
Aggregate Amount Financed,,$,1084569770.68,,,$,1114879158.52,
Number of Contracts in Pool,,,59861,,,,61802,
Average Amount Financed,,$,18118.14,,,$,18039.53,
Weighted Average Original Maturity (in Months),,,69.93,,,,71.03,
Weighted Average Remaining Maturity (in Months),,,54.74,,,,54.11,
Percentage of Receivables with Original Maturities > 60 Months,,,78.18,%,,,79.46,%
Percentage of New Vehicles,,,50.18,%,,,40.34,%
Percentage of Non-Subvented Receivables,,,99.08,%,,,99.96,%
Weighted Average FICO Score,,,724.99,,,,734.76,
Weighted Average Loan-to-Value,,,93.30,,,,94.29,
Cutoff Date,,,"April 1, 2022",,,,"August 1, 2024",
