0,1,2,3,4,5
,,Fair Value  (in millions),Fair Value  (in millions),,Fair Value  (as a percentage)
Class A notes,,$,1750.0,,91.5% - 91.8%
Class B notes,,55.3,55.3,,2.9
Class C notes,,31.6,31.6,,1.7
Residual Interest,,70.3 - 76.0,70.3 - 76.0,,3.7 - 4.0
Total,,$,"1,907.1 - $1,912.8",,100.0%
