0,1,2,3,4,5
Underwriter,Class A-1,Class A-SB,Class A-4,Class A-5,Class X-A
"Wells Fargo Securities, LLC",$	[__],$	[__],$	[__],$	[__],$	[__]
J.P. Morgan Securities LLC,$	[__],$	[__],$	[__],$	[__],$	[__]
Goldman Sachs & Co. LLC..,$	[__],$	[__],$	[__],$	[__],$	[__]
"SG Americas Securities, LLC",$	[__],$	[__],$	[__],$	[__],$	[__]
"Academy Securities, Inc.",$	[__],$	[__],$	[__],$	[__],$	[__]
"Drexel Hamilton, LLC",$	[__],$	[__],$	[__],$	[__],$	[__]
"Siebert Williams Shank & Co., LLC",$	[__],$	[__],$	[__],$	[__],$	[__]
Total,$	[__],$	[__],$	[__],$	[__],$	[__]
Underwriter,Class X-B,Class A-S,Class B,Class C,
"Wells Fargo Securities, LLC",$	[__],$	[__],$	[__],$	[__],
J.P. Morgan Securities LLC,$	[__],$	[__],$	[__],$	[__],
Goldman Sachs & Co. LLC..,$	[__],$	[__],$	[__],$	[__],
"SG Americas Securities, LLC",$	[__],$	[__],$	[__],$	[__],
"Academy Securities, Inc.",$	[__],$	[__],$	[__],$	[__],
"Drexel Hamilton, LLC",$	[__],$	[__],$	[__],$	[__],
"Siebert Williams Shank & Co., LLC",$	[__],$	[__],$	[__],$	[__],
Total,$	[__],$	[__],$	[__],$	[__],
