0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,
Payment Date,,,0.00%,0.00%,,,0.50%,0.50%,,1.00%,1.00%,,1.30%,1.30%,,,1.50%,1.50%,,,2.00%,2.00%
Closing Date,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,100.00,%,,,100.00,%
October 2025,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,100.00,%,,,100.00,%
November 2025,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,100.00,%,,,100.00,%
December 2025,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,100.00,%,,,100.00,%
January 2026,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,100.00,%,,,100.00,%
February 2026,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,100.00,%,,,100.00,%
March 2026,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,100.00,%,,,100.00,%
April 2026,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,100.00,%,,,100.00,%
May 2026,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,100.00,%,,,100.00,%
June 2026,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,100.00,%,,,100.00,%
July 2026,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,100.00,%,,,100.00,%
August 2026,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,100.00,%,,,100.00,%
September 2026,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,100.00,%,,,100.00,%
October 2026,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,100.00,%,,,100.00,%
November 2026,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,100.00,%,,,95.90,%
December 2026,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,100.00,%,,,86.93,%
January 2027,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,100.00,%,,,78.23,%
February 2027,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,100.00,%,,,69.82,%
March 2027,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,93.54,%,,,61.70,%
April 2027,,,100.00,%,,,100.00,%,,100.00,%,,98.13,%,,,86.46,%,,,53.86,%
May 2027,,,100.00,%,,,100.00,%,,100.00,%,,91.48,%,,,79.57,%,,,46.31,%
June 2027,,,100.00,%,,,100.00,%,,100.00,%,,85.06,%,,,72.93,%,,,39.08,%
July 2027,,,100.00,%,,,100.00,%,,96.03,%,,78.86,%,,,66.54,%,,,32.17,%
August 2027,,,100.00,%,,,100.00,%,,90.19,%,,72.79,%,,,60.32,%,,,25.54,%
September 2027,,,100.00,%,,,100.00,%,,84.45,%,,66.88,%,,,54.29,%,,,19.19,%
October 2027,,,100.00,%,,,100.00,%,,78.80,%,,61.12,%,,,48.44,%,,,13.12,%
November 2027,,,100.00,%,,,99.80,%,,73.26,%,,55.50,%,,,42.78,%,,,7.33,%
December 2027,,,100.00,%,,,94.40,%,,67.81,%,,50.04,%,,,37.30,%,,,1.84,%
January 2028,,,100.00,%,,,89.03,%,,62.47,%,,44.72,%,,,32.01,%,,,0.00,%
February 2028,,,100.00,%,,,83.68,%,,57.23,%,,39.56,%,,,26.91,%,,,0.00,%
March 2028,,,100.00,%,,,78.37,%,,52.10,%,,34.56,%,,,22.00,%,,,0.00,%
April 2028,,,96.03,%,,,73.08,%,,47.07,%,,29.70,%,,,17.28,%,,,0.00,%
May 2028,,,90.50,%,,,67.83,%,,42.14,%,,25.01,%,,,12.76,%,,,0.00,%
June 2028,,,84.93,%,,,62.60,%,,37.32,%,,20.47,%,,,8.43,%,,,0.00,%
July 2028,,,79.73,%,,,57.73,%,,32.85,%,,16.27,%,,,4.42,%,,,0.00,%
August 2028,,,74.80,%,,,53.14,%,,28.65,%,,12.34,%,,,0.69,%,,,0.00,%
September 2028,,,69.84,%,,,48.58,%,,24.55,%,,8.55,%,,,0.00,%,,,0.00,%
October 2028,,,64.85,%,,,44.04,%,,20.54,%,,4.91,%,,,0.00,%,,,0.00,%
November 2028,,,59.82,%,,,39.53,%,,16.63,%,,1.40,%,,,0.00,%,,,0.00,%
December 2028,,,54.76,%,,,35.05,%,,12.82,%,,0.00,%,,,0.00,%,,,0.00,%
January 2029,,,49.67,%,,,30.60,%,,9.10,%,,0.00,%,,,0.00,%,,,0.00,%
February 2029,,,44.54,%,,,26.17,%,,5.48,%,,0.00,%,,,0.00,%,,,0.00,%
March 2029,,,39.38,%,,,21.77,%,,1.95,%,,0.00,%,,,0.00,%,,,0.00,%
April 2029,,,34.18,%,,,17.39,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
May 2029,,,28.95,%,,,13.05,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
June 2029,,,23.71,%,,,8.75,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
July 2029,,,19.45,%,,,5.24,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
August 2029,,,15.89,%,,,2.30,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
September 2029,,,12.31,%,,,0.00,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
October 2029,,,8.71,%,,,0.00,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
November 2029,,,5.08,%,,,0.00,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
December 2029,,,1.43,%,,,0.00,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
