0,1,2,3,4,5,6,7
Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,,Property  Information,Property  Information
Mortgage Loan Seller:,Mortgage Loan Seller:,Mortgage Loan Seller:,AREF2,AREF2,,Single Asset/Portfolio:,Single Asset
,,,,,,Location:,"Austin, TX 78728"
Original Balance:,Original Balance:,Original Balance:,"$27,600,000","$27,600,000",,General Property Type:,Office
Cut-off Date Balance:,Cut-off Date Balance:,Cut-off Date Balance:,"$27,600,000","$27,600,000",,Detailed Property Type:,Suburban
% of Initial Pool Balance:,% of Initial Pool Balance:,% of Initial Pool Balance:,5.1%,5.1%,,Title Vesting:,Fee
Loan Purpose:,Loan Purpose:,Loan Purpose:,Refinance,Refinance,,Year Built/Renovated:,1984/2022
Borrower Sponsor:,Borrower Sponsor:,Borrower Sponsor:,"FREP III Holdings, L.L.C.","FREP III Holdings, L.L.C.",,Size:,"165,258 SF"
Guarantor:,Guarantor:,Guarantor:,"FREP III Holdings, L.L.C.","FREP III Holdings, L.L.C.",,Cut-off Date Balance PSF:,$167
Mortgage Rate:,Mortgage Rate:,Mortgage Rate:,7.3660%,7.3660%,,Maturity Date Balance PSF:,$167
Note Date:,Note Date:,Note Date:,4/22/2026,4/22/2026,,Property Manager:,"Moore & Associates, Inc."
Maturity Date:,Maturity Date:,Maturity Date:,5/6/2031,5/6/2031,,,
Original Term to Maturity:,Original Term to Maturity:,Original Term to Maturity:,60 months,60 months,,Underwriting  and Financial Information,Underwriting  and Financial Information
Original Amortization Term:,Original Amortization Term:,Original Amortization Term:,0 months,0 months,,UW NOI:,"$3,532,138"
IO Period:,IO Period:,IO Period:,60 months,60 months,,UW NCF,"$3,069,415"
Seasoning:,Seasoning:,Seasoning:,1 month,1 month,,UW NOI Debt Yield:,12.8%
Prepayment Provisions:,Prepayment Provisions:,Prepayment Provisions:,"L(25),D(28),O(7)","L(25),D(28),O(7)",,UW NCF Debt Yield:,11.1%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Hard/In Place(1),Hard/In Place(1),,UW NOI Debt Yield at Maturity:,12.8%
Additional Debt Type:,Additional Debt Type:,Additional Debt Type:,NAP,NAP,,UW NCF DSCR:,1.49x
Additional Debt Balance:,Additional Debt Balance:,Additional Debt Balance:,NAP,NAP,,Most Recent NOI(3):,"$4,093,804 (2/28/2026 TTM)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),,2nd Most Recent NOI(3):,"$3,282,390 (12/31/2024)"
Reserves(2),Reserves(2),Reserves(2),Reserves(2),Reserves(2),,3rd Most Recent NOI:,"$3,062,466 (12/31/2023)"
Type,Type,Initial,Monthly,Cap,,Most Recent Occupancy(4):,84.7% (3/1/2026)
RE Taxes:,"$190,567","$190,567","$38,113",NAP,,2nd Most Recent Occupancy(4):,88.7% (12/31/2024)
Insurance:,"$19,438","$19,438",Springing,NAP,,3rd Most Recent Occupancy(4):,83.8% (12/31/2023)
Replacement Reserve:,$0,$0,"$4,131",NAP,,Appraised Value (as of)(5):,"$44,500,000 (2/19/2026)"
TI/LC Reserve:,"$1,000,000","$1,000,000","$34,429","$2,500,000",,Appraised Value PSF:,$269
,,,,,,Cut-off Date LTV Ratio:,62.0%
,,,,,,Maturity Date LTV Ratio:,62.0%
,,,,,,,
