0,1,2,3,4,5
,,Principal  Amount(1),,Interest  Rate,
Class A-1 notes,,"$297,000,000",,●%,
Class A-2a  notes(2)  Class A-2b notes(2)(3)(4),},"$506,000,000",,●%  30-day average SOFR + ●%,
Class A-3  notes,,"$469,000,000",,●%,
Class A-4  notes,,"$ 78,000,000",,●%,
Class B  notes,,"$ 42,630,000",,●%,
Class C  notes(5),,"$ 28,410,000",,0.00%,
