0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,,,,,,,,,,,,,,,,,
,,,,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,
,,,,Total for Month,Total for Month,Total for Month,Total for Month,Total for Month,Total for Month,,,Cumulative,Cumulative,Cumulative,Cumulative,Cumulative,Cumulative,
Month,,Prepayment Speeds,,$,$,,,%,%,,,$,$,,,%,%,
Feb-24,,1.36,,,,,,,0.000000,%,,,,,,,0.000000,%
Mar-24,,1.46,,,6605.32,,,,0.000589,%,,,6605.32,,,,0.000589,%
Apr-24,,1.41,,,16999.40,,,,0.001515,%,,,23604.72,,,,0.002104,%
May-24,,1.50,,,466670.17,,,,0.041593,%,,,490274.89,,,,0.043697,%
Jun-24,,1.26,,,431091.16,,,,0.038422,%,,,921366.05,,,,0.082118,%
Jul-24,,1.36,,,377407.81,,,,0.033637,%,,,1298773.86,,,,0.115755,%
Aug-24,,1.41,,,750293.42,,,,0.066871,%,,,2049067.28,,,,0.182626,%
