0,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
Payment Date,,1.00%,,1.50%,,1.75%,,2.00%,,2.50%
"November 15, 2028",,45%,,0%,,0%,,0%,,0%
"December 15, 2028",,38%,,0%,,0%,,0%,,0%
"January 15, 2029",,31%,,0%,,0%,,0%,,0%
"February 15, 2029",,23%,,0%,,0%,,0%,,0%
"March 15, 2029",,16%,,0%,,0%,,0%,,0%
"April 15, 2029",,9%,,0%,,0%,,0%,,0%
"May 15, 2029",,2%,,0%,,0%,,0%,,0%
"June 15, 2029",,0%,,0%,,0%,,0%,,0%
,,,,,,,,,,
Weighted Average Life (Years) to Call,,4.27,,3.55,,3.20,,2.89,,2.40
Weighted Average Life (Years) to Maturity,,4.27,,3.55,,3.20,,2.89,,2.40
