0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SDART 2024-4,,SDART 2024-3,,SDART 2024-2,,SDART 2024-1,,SDART 2023-6,,SDART 2023-5,,SDART 2023-4,,SDART 2023-3,,SDART 2023-2,,SDART 2023-1,,SDART 2022-7,,SDART 2022-6,,SDART 2022-5,,SDART 2022-4,,SDART 2022-3
Current Principal Balance (% of  Aggregate Principal Balance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"25,001 - 30,000",,4.78%,,4.59%,,4.77%,,4.31%,,4.53%,,4.46%,,3.95%,,4.51%,,4.36%,,4.45%,,4.27%,,5.21%,,5.33%,,5.29%,,5.11%
"30,001 - 35,000",,5.04%,,4.72%,,4.93%,,4.87%,,4.94%,,4.67%,,4.23%,,4.66%,,4.44%,,4.84%,,4.80%,,5.26%,,5.64%,,5.36%,,5.46%
"35,001 - 40,000",,4.77%,,4.49%,,4.68%,,4.80%,,4.79%,,4.62%,,4.21%,,4.59%,,4.69%,,4.61%,,4.82%,,5.02%,,5.17%,,5.15%,,5.01%
"40,001 - 45,000",,4.81%,,4.63%,,4.66%,,4.73%,,4.88%,,4.50%,,4.15%,,4.62%,,4.77%,,5.00%,,4.73%,,4.93%,,5.01%,,4.89%,,5.04%
"45,001 - 50,000",,4.44%,,4.22%,,4.35%,,4.40%,,4.43%,,4.14%,,3.98%,,4.52%,,4.42%,,4.52%,,4.85%,,5.06%,,5.04%,,4.92%,,4.66%
"50,001 and above",,32.36%,,33.18%,,35.01%,,33.61%,,32.91%,,33.14%,,32.42%,,34.17%,,34.34%,,32.00%,,33.58%,,33.98%,,32.32%,,30.98%,,29.92%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loan Funded Score (% of Aggregate  Principal Balance)(5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450 and lower,,5.83%,,7.07%,,5.07%,,6.53%,,2.81%,,2.13%,,4.32%,,1.84%,,2.04%,,6.66%,,5.76%,,9.36%,,9.79%,,7.03%,,7.69%
451 - 500,,25.68%,,22.52%,,22.65%,,23.21%,,30.24%,,28.05%,,28.41%,,26.87%,,24.63%,,24.08%,,24.88%,,22.42%,,20.09%,,25.07%,,23.48%
