0,1,2,3,4,5,6
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information
Mortgage Loan Seller:,MSMCH,MSMCH,MSMCH,,Single Asset/Portfolio:,Single Asset
,,,,,Location:,"Albuquerque, NM 87110"
Original Balance:,"$47,000,000","$47,000,000","$47,000,000",,General Property Type:,Hospitality
Cut-off Date Balance:,"$46,957,511","$46,957,511","$46,957,511",,Detailed Property Type:,Full Service
% of Initial Pool Balance:,6.6%,6.6%,6.6%,,Title Vesting:,Fee
Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,1982/2020
Borrower Sponsor:,Columbia Sussex Corporation,Columbia Sussex Corporation,Columbia Sussex Corporation,,Size:,411 Rooms
Guarantor:,"CSC Holdings, LLC","CSC Holdings, LLC","CSC Holdings, LLC",,Cut-off Date Balance Per Room:,"$114,252"
Mortgage Rate:,6.5000%,6.5000%,6.5000%,,Maturity Date Balance Per Room:,"$107,779"
Note Date:,10/31/2025,10/31/2025,10/31/2025,,Property Manager:,"Crestview Management, LLC"
Maturity Date:,11/1/2030,11/1/2030,11/1/2030,,,(borrower related)
Term to Maturity:,60 months,60 months,60 months,,Underwriting  and Financial Information,Underwriting  and Financial Information
Amortization Term:,360 months,360 months,360 months,,UW NOI:,"$7,067,177"
IO Period:,0 months,0 months,0 months,,UW NCF:,"$6,167,643"
Seasoning:,1 month,1 month,1 month,,UW NOI Debt Yield:,15.1%
Prepayment Provisions:,"L(25),D(28),O(7)","L(25),D(28),O(7)","L(25),D(28),O(7)",,UW NCF Debt Yield:,13.1%
Lockbox/Cash Mgmt Status:,Hard/Springing,Hard/Springing,Hard/Springing,,UW NOI Debt Yield at Maturity:,16.0%
Additional Debt Type:,NAP,NAP,NAP,,UW NCF DSCR:,1.73x
Additional Debt Balance:,NAP,NAP,NAP,,Most Recent NOI:,"$7,003,474 (8/31/2025 TTM)"
Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,2nd Most Recent NOI:,"$7,731,194 (12/31/2024)"
,,,,,3rd Most Recent NOI:,"$7,474,743 (12/31/2023)"
,,,,,Most Recent Occupancy:,60.2% (8/31/2025)
Reserves(1),Reserves(1),Reserves(1),Reserves(1),,2nd Most Recent Occupancy:,64.4% (12/31/2024)
Type,Initial,Monthly,Cap,,3rd Most Recent Occupancy:,67.0% (12/31/2023)
RE Taxes:,"$30,195","$30,195",NAP,,Appraised Value (as of):,"$73,000,000 (9/3/2025)"
Insurance:,$0,Springing,NAP,,Appraised Value Per Room:,"$177,616"
FF&E Reserve:,$0,"$74,961",NAP,,Cut-off Date LTV Ratio:,64.3%
PIP Reserve:,$0,Springing,NAP,,Maturity Date LTV Ratio:,60.7%
