0,1,2,3,4,5,6,7,8,9,10,11,12
Payment Date,,0.50%,,1.00%,,1.30%,,1.50%,,1.70%,,2.00%
Closing Date,,100.00%,,100.00%,,100.00%,,100.00%,,100.00%,,100.00%
"December 15, 2025",,100.00%,,100.00%,,100.00%,,100.00%,,100.00%,,100.00%
"January 15, 2026",,100.00%,,100.00%,,100.00%,,100.00%,,100.00%,,100.00%
"February 15, 2026",,100.00%,,100.00%,,100.00%,,100.00%,,100.00%,,100.00%
"March 15, 2026",,100.00%,,100.00%,,100.00%,,100.00%,,100.00%,,100.00%
"April 15, 2026",,100.00%,,100.00%,,100.00%,,100.00%,,96.81%,,88.69%
"May 15, 2026",,100.00%,,100.00%,,97.28%,,92.10%,,86.43%,,77.24%
"June 15, 2026",,100.00%,,96.09%,,88.23%,,82.51%,,76.31%,,66.12%
"July 15, 2026",,100.00%,,87.95%,,79.37%,,73.15%,,66.45%,,55.34%
"August 15, 2026",,93.65%,,79.93%,,70.69%,,64.02%,,56.85%,,44.90%
"September 15, 2026",,86.81%,,72.13%,,62.27%,,55.15%,,47.51%,,34.81%
"October 15, 2026",,80.01%,,64.46%,,54.02%,,46.49%,,38.43%,,25.05%
"November 15, 2026",,73.25%,,56.90%,,45.95%,,38.05%,,29.61%,,15.65%
"December 15, 2026",,66.54%,,49.47%,,38.05%,,29.84%,,21.06%,,6.59%
"January 15, 2027",,59.87%,,42.17%,,30.33%,,21.84%,,12.77%,,0.00%
"February 15, 2027",,53.24%,,34.98%,,22.80%,,14.06%,,4.76%,,0.00%
"March 15, 2027",,46.66%,,27.92%,,15.44%,,6.51%,,0.00%,,0.00%
"April 15, 2027",,40.13%,,20.99%,,8.27%,,0.00%,,0.00%,,0.00%
"May 15, 2027",,33.63%,,14.18%,,1.27%,,0.00%,,0.00%,,0.00%
"June 15, 2027",,27.19%,,7.50%,,0.00%,,0.00%,,0.00%,,0.00%
"July 15, 2027",,21.38%,,1.41%,,0.00%,,0.00%,,0.00%,,0.00%
"August 15, 2027",,15.61%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%
"September 15, 2027",,9.87%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%
"October 15, 2027",,4.18%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%
"November 15, 2027",,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%
,,,,,,,,,,,,
Weighted Average Life To Maturity (years)(1)(2),,1.35,,1.14,,1.02,,0.94,,0.87,,0.77
Weighted Average Life To Call (years)(1)(3),,1.35,,1.14,,1.02,,0.94,,0.87,,0.77
