0,1,2,3,4,5,6,7,8
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information
Mortgage Loan Seller:,Mortgage Loan Seller:,Mortgage Loan Seller:,WFB,WFB,WFB,,Single Asset/Portfolio:,Single Asset
Credit Assessment (Fitch/MDBRS/Moody’s):,Credit Assessment (Fitch/MDBRS/Moody’s):,Credit Assessment (Fitch/MDBRS/Moody’s):,NR/NR/NR,NR/NR/NR,NR/NR/NR,,Location:,"Manhattan Beach, CA 90266"
Original Balance(1):,Original Balance(1):,Original Balance(1):,"$31,500,000","$31,500,000","$31,500,000",,General Property Type:,Retail
Cut-off Date Balance(1):,Cut-off Date Balance(1):,Cut-off Date Balance(1):,"$31,500,000","$31,500,000","$31,500,000",,Detailed Property Type:,Anchored
% of Initial Pool Balance:,% of Initial Pool Balance:,% of Initial Pool Balance:,5.1%,5.1%,5.1%,,Title Vesting:,Fee
Loan Purpose:,Loan Purpose:,Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,1999/2007
Borrower Sponsors:,Borrower Sponsors:,Borrower Sponsors:,"Robert Comstock, Daniel Crosser","Robert Comstock, Daniel Crosser","Robert Comstock, Daniel Crosser",,Size:,"82,000 SF"
,,,and Daniel Romano,and Daniel Romano,and Daniel Romano,,Cut-off Date Balance PSF(1):,$384
Guarantors:,Guarantors:,Guarantors:,"Robert Comstock, Daniel Crosser","Robert Comstock, Daniel Crosser","Robert Comstock, Daniel Crosser",,Maturity Date Balance PSF(1):,$384
,,,and Daniel Romano,and Daniel Romano,and Daniel Romano,,Property Manager:,Comstock Crosser & Associates
Mortgage Rate:,Mortgage Rate:,Mortgage Rate:,6.9270%,6.9270%,6.9270%,,,"Development Company, Inc."
Note Date:,Note Date:,Note Date:,7/17/2025,7/17/2025,7/17/2025,,,(borrower-related)
Maturity Date:,Maturity Date:,Maturity Date:,8/11/2030,8/11/2030,8/11/2030,,,
Term to Maturity:,Term to Maturity:,Term to Maturity:,60 months,60 months,60 months,,,
Amortization Term:,Amortization Term:,Amortization Term:,0 months,0 months,0 months,,Underwriting and Financial Information,Underwriting and Financial Information
IO Period:,IO Period:,IO Period:,60 months,60 months,60 months,,UW NOI:,"$2,768,776"
Seasoning:,Seasoning:,Seasoning:,2 months,2 months,2 months,,UW NCF:,"$2,713,805"
Prepayment Provisions(2):,Prepayment Provisions(2):,Prepayment Provisions(2):,"L(26),D(29),O(5)","L(26),D(29),O(5)","L(26),D(29),O(5)",,UW NOI Debt Yield(1):,9.4%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Soft/Springing,Soft/Springing,Soft/Springing,,UW NCF Debt Yield(1):,9.2%
Additional Debt Type:,Additional Debt Type:,Additional Debt Type:,NAP,NAP,NAP,,UW NOI Debt Yield at Maturity(1):,9.4%
Additional Debt Balance:,Additional Debt Balance:,Additional Debt Balance:,NAP,NAP,NAP,,UW NCF DSCR:,1.23x
Future Debt Permitted (Type):,Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,Most Recent NOI:,"$3,171,702 (5/31/2025 TTM)"
Reserves(3),Reserves(3),Reserves(3),Reserves(3),Reserves(3),Reserves(3),,2nd Most Recent NOI:,"$3,078,584 (12/31/2024)"
Type,Initial,Initial,Initial,Monthly,Cap,,3rd Most Recent NOI:,"$3,054,128 (12/31/2023)"
RE Taxes:,"$206,122","$206,122","$206,122","$29,446",NAP,,Most Recent Occupancy:,100.0% (7/11/2025)
Insurance:,$0,$0,$0,Springing,NAP,,2nd Most Recent Occupancy:,100.0% (12/31/2024)
Replacement Reserve:,$0,$0,$0,"$1,164","$41,904",,3rd Most Recent Occupancy:,100.0% (12/31/2023)
TI/LC Reserve:,$0,$0,$0,"$3,417",NAP,,Appraised Value (as of):,"$53,000,000 (5/20/2025)"
Economic Holdback Reserve:,"$2,150,000","$2,150,000","$2,150,000",$0,NAP,,Appraised Value PSF:,$646
Existing TI/LC Reserve Funds:,"$35,000","$35,000","$35,000",$0,NAP,,Cut-off Date LTV Ratio(1):,55.4%
Environmental Remediation Reserve(4):,Environmental Remediation Reserve(4):,"$11,067,298","$11,067,298",$0,NAP,,Maturity Date LTV Ratio(1):,55.4%
,,,,,,,,
