0,1,2,3,4,5,6,7
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information
Mortgage Loan Seller:,Mortgage Loan Seller:,WFB/JPMCB,WFB/JPMCB,WFB/JPMCB,,Single Asset/Portfolio:,Single Asset
,,,,,,Location:,"Tampa, FL 33607"
Original Balance(1):,Original Balance(1):,"$50,000,000","$50,000,000","$50,000,000",,General Property Type:,Retail
Cut-off Date Balance(1):,Cut-off Date Balance(1):,"$50,000,000","$50,000,000","$50,000,000",,Detailed Property Type:,Super Regional Mall
% of Initial Pool Balance:,% of Initial Pool Balance:,7.0%,7.0%,7.0%,,Title Vesting:,Leasehold
Loan Purpose:,Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,"2001, 2009/2024"
Borrower Sponsor:,Borrower Sponsor:,The Taubman Realty Group LLC,The Taubman Realty Group LLC,The Taubman Realty Group LLC,,Size:,"803,735 SF"
Guarantor:,Guarantor:,The Taubman Realty Group LLC,The Taubman Realty Group LLC,The Taubman Realty Group LLC,,Cut-off Date Balance PSF(1):,$686
Mortgage Rate(2):,Mortgage Rate(2):,4.9133314958%,4.9133314958%,4.9133314958%,,Maturity Date Balance PSF(1):,$686
Note Date:,Note Date:,10/9/2025,10/9/2025,10/9/2025,,Property Manager:,The Taubman Company LLC
Maturity Date:,Maturity Date:,11/1/2030,11/1/2030,11/1/2030,,,
Term to Maturity:,Term to Maturity:,60 months,60 months,60 months,,Underwriting and Financial Information,Underwriting and Financial Information
Amortization Term:,Amortization Term:,0 months,0 months,0 months,,UW NOI(5):,"$73,894,554"
IO Period:,IO Period:,60 months,60 months,60 months,,UW NCF:,"$72,971,613"
Seasoning:,Seasoning:,1 month,1 month,1 month,,UW NOI Debt Yield(1):,13.4%
Prepayment Provisions(3):,Prepayment Provisions(3):,"L(25),D(28),O(7)","L(25),D(28),O(7)","L(25),D(28),O(7)",,UW NCF Debt Yield(1):,13.2%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Hard/Springing,Hard/Springing,Hard/Springing,,UW NOI Debt Yield at Maturity(1):,13.4%
Additional Debt Type(1):,Additional Debt Type(1):,Pari Passu / B-Note,Pari Passu / B-Note,Pari Passu / B-Note,,UW NCF DSCR(1):,2.66x
Additional Debt Balance(1):,Additional Debt Balance(1):,"$501,250,000 / $23,750,000","$501,250,000 / $23,750,000","$501,250,000 / $23,750,000",,Most Recent NOI(5):,"$66,152,015 (7/31/2025 TTM)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,2nd Most Recent NOI:,"$64,632,291 (12/31/2024)"
Reserves(4),Reserves(4),Reserves(4),Reserves(4),Reserves(4),,3rd Most Recent NOI:,"$56,790,213 (12/31/2023)"
Type,Initial,Initial,Monthly,Cap,,Most Recent Occupancy:,98.8% (7/31/2025)
Taxes:,$0,$0,Springing,,,2nd Most Recent Occupancy:,92.2% (12/31/2024)
Insurance:,$0,$0,Springing,,,3rd Most Recent Occupancy:,93.6% (12/31/2023)
Replacement Reserves:,$0,$0,Springing,"$498,523",,Appraised Value (as of):,"$1,348,000,000 (8/20/2025)"
TI/LC Reserve:,$0,$0,Springing,"$1,347,360",,Appraised Value PSF:,"$1,677"
Outstanding Obligations Reserve:,"$6,537,000","$6,537,000",$0,,,Cut-off Date LTV Ratio(1):,40.9%
Gap Rent Reserve:,"$1,810,588","$1,810,588",$0,,,Maturity Date LTV Ratio(1):,40.9%
Ground Rent Reserve,$0,$0,Springing,,,,
,,,,,,,
