0,1,2,3,4,5,6,7,8,9,10
,,Principal  Amount of  Class A-1 Notes,,Principal  Amount of  Class A-2a Notes(1),,Principal  Amount of  Class A-2b Notes(1),,Principal  Amount of  Class A-3 Notes,,Principal  Amount of  Class A-4 Notes
"SMBC Nikko Securities America, Inc.",,$__________,,$__________,,$__________,,$__________,,$__________
Barclays Capital Inc.,,$__________,,$__________,,$__________,,$__________,,$__________
"RBC Capital Markets, LLC",,$__________,,$__________,,$__________,,$__________,,$__________
"U.S. Bancorp Investments, Inc.",,$__________,,$__________,,$__________,,$__________,,$__________
"Fifth Third Securities, Inc.",,$__________,,$__________,,$__________,,$__________,,$__________
HSBC Securities (USA) Inc.,,$__________,,$__________,,$__________,,$__________,,$__________
"Mischler Financial Group, Inc.",,$__________,,$__________,,$__________,,$__________,,$__________
Total,,"$275,500,000(3)",,$_____ (2),,$_____ (2),,"$454,100,000(3)",,"$66,690,000(3)"
