0,1,2,3,4,5
Class A-1 Notes,,,$,313000000.0,
Class A-2-A Notes  Class A-2-B Notes,},,$,660000000.0,
Class A-3 Notes,,,$,615000000.0,
Class A-4 Notes,,,$,81930000.0,
Class B Notes,,,$,32430000.0,
Class C Notes,,,$,54040000.0,
Yield Supplement Overcollateralization  Amount,,,$,123797585.33,
Overcollateralization(2),,,$,45042825.83,
Total,,,$,1925240411.16,
