0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution Date,,0.00%,0.00%,,,0.50%,0.50%,,,0.90%,0.90%,,,1.10%,1.10%,,,1.30%,1.30%,,,1.50%,1.50%,,,1.80%,1.80%,
Closing Date,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
11/15/25,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
12/15/25,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
01/15/26,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
02/15/26,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,91.20,%
03/15/26,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,97.24,%,,,79.81,%
04/15/26,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,95.35,%,,,86.80,%,,,69.08,%
05/15/26,,,100.00,%,,,100.00,%,,,99.65,%,,,93.38,%,,,86.03,%,,,76.69,%,,,58.70,%
06/15/26,,,100.00,%,,,100.00,%,,,91.71,%,,,84.89,%,,,76.94,%,,,66.93,%,,,48.66,%
07/15/26,,,100.00,%,,,96.36,%,,,83.88,%,,,76.56,%,,,68.08,%,,,57.51,%,,,39.16,%
08/15/26,,,100.00,%,,,89.46,%,,,76.15,%,,,68.40,%,,,59.46,%,,,48.43,%,,,30.19,%
09/15/26,,,97.44,%,,,82.59,%,,,68.54,%,,,60.39,%,,,51.07,%,,,39.71,%,,,21.47,%
10/15/26,,,91.38,%,,,75.75,%,,,61.03,%,,,52.55,%,,,42.92,%,,,31.38,%,,,13.02,%
11/15/26,,,85.27,%,,,68.93,%,,,53.63,%,,,44.87,%,,,35.01,%,,,23.47,%,,,4.82,%
12/15/26,,,79.12,%,,,62.14,%,,,46.34,%,,,37.37,%,,,27.34,%,,,15.88,%,,,0.00,%
01/15/27,,,72.92,%,,,55.39,%,,,39.17,%,,,30.03,%,,,19.93,%,,,8.57,%,,,0.00,%
02/15/27,,,66.70,%,,,48.69,%,,,32.13,%,,,22.88,%,,,12.77,%,,,1.52,%,,,0.00,%
03/15/27,,,61.88,%,,,43.28,%,,,26.23,%,,,16.71,%,,,6.32,%,,,0.00,%,,,0.00,%
04/15/27,,,57.02,%,,,37.90,%,,,20.39,%,,,10.64,%,,,0.01,%,,,0.00,%,,,0.00,%
05/15/27,,,52.12,%,,,32.53,%,,,14.64,%,,,4.69,%,,,0.00,%,,,0.00,%,,,0.00,%
06/15/27,,,47.19,%,,,27.19,%,,,8.96,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
07/15/27,,,42.21,%,,,21.87,%,,,3.36,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
08/15/27,,,37.20,%,,,16.57,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
09/15/27,,,32.15,%,,,11.29,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
10/15/27,,,27.06,%,,,6.03,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
11/15/27,,,21.93,%,,,0.79,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
12/15/27,,,16.75,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
01/15/28,,,11.54,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
02/15/28,,,6.32,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
03/15/28,,,1.22,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
04/15/28,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
Weighted Average Life (Years) to Call,,,1.67,,,,1.39,,,,1.19,,,,1.08,,,,0.98,,,,0.88,,,,0.71,
Weighted Average Life (Years) to Maturity,,,1.67,,,,1.39,,,,1.19,,,,1.08,,,,0.98,,,,0.88,,,,0.71,
