0,1,2,3,4,5,6,7,8,9,10,11,12
Payment Date,,0.50%,,1.00%,,1.30%,,1.50%,,1.70%,,2.00%
Closing Date,,100.00%,,100.00%,,100.00%,,100.00%,,100.00%,,100.00%
"September 21, 2025",,79.49%,,74.79%,,71.58%,,69.24%,,66.68%,,62.08%
"October 21, 2025",,69.33%,,62.43%,,57.74%,,54.31%,,50.57%,,43.92%
"November 21, 2025",,59.22%,,50.24%,,44.13%,,39.68%,,34.84%,,26.28%
"December 21, 2025",,49.17%,,38.21%,,30.77%,,25.36%,,19.48%,,9.39%
"January 21, 2026",,39.18%,,26.35%,,17.66%,,11.34%,,4.49%,,0.00%
"February 21, 2026",,29.25%,,14.66%,,4.79%,,0.00%,,0.00%,,0.00%
"March 21, 2026",,19.38%,,3.14%,,0.00%,,0.00%,,0.00%,,0.00%
"April 21, 2026",,9.57%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%
"May 21, 2026",,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%
,,,,,,,,,,,,
Weighted Average Life To Maturity (years)(1)(2),,0.40,,0.33,,0.30,,0.27,,0.26,,0.23
Weighted Average Life To Call (years)(1)(3),,0.40,,0.33,,0.30,,0.27,,0.26,,0.23
