0,1,2
Cash  Flow Analysis(3),Cash  Flow Analysis(3),Cash  Flow Analysis(3)
,UW  (1),UW  PSF
Base Rent,"$2,839,274",$19.96
Grossed Up Vacant Space,"$124,008",$0.87
Gross Potential Rent,"$2,963,281",$20.83
Total Recoveries,"$718,149",$5.05
Net Rental Income,"$3,681,430",$25.88
(Vacancy & Credit Loss),"($124,008)",($0.87)
Effective Gross Income,"$3,557,423",$25.00
Real Estate Taxes,"$516,192",$3.63
Insurance,"$36,368",$0.26
Management Fee,"$106,723",$0.75
Other Operating Expenses,"$196,520",$1.38
Total Operating Expenses,"$855,803",$6.02
,,
Net Operating Income,"$2,701,620",$18.99
Replacement Reserves,"$61,661",$0.43
TI/LC,"$47,207",$0.33
(Non-Recurring Items),"($50,000)",($0.35)
Net Cash Flow,"$2,642,752",$18.57
,,
Occupancy %,100.0%(2),
NOI DSCR,1.76x,
NCF DSCR,1.72x,
NOI Debt Yield,11.1%,
NCF Debt Yield,10.9%,
