0,1,2,3,4,5,6
Payment Date,0%,50%,75%,100%,150%,200%
Closing Date,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
May 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
June 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
July 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
August 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
September 2026,100.00%,100.00%,100.00%,100.00%,100.00%,96.55%
October 2026,100.00%,100.00%,100.00%,98.95%,93.92%,88.59%
November 2026,100.00%,97.58%,94.90%,92.14%,86.36%,80.22%
December 2026,96.58%,90.82%,87.81%,84.71%,78.22%,71.29%
January 2027,88.67%,82.35%,79.04%,75.63%,68.48%,60.83%
February 2027,82.24%,75.34%,71.73%,68.01%,60.17%,51.79%
March 2027,75.43%,68.00%,64.10%,60.07%,51.59%,42.49%
April 2027,64.50%,56.69%,52.59%,48.35%,39.41%,29.79%
May 2027,57.42%,49.15%,44.79%,40.29%,30.78%,20.51%
June 2027,50.26%,41.56%,36.97%,32.22%,22.16%,11.28%
July 2027,42.72%,33.63%,28.84%,23.86%,13.31%,1.87%
August 2027,33.67%,24.30%,19.35%,14.21%,3.30%,0.00%
September 2027,25.14%,15.52%,10.43%,5.14%,0.00%,0.00%
October 2027,16.52%,6.69%,1.49%,0.00%,0.00%,0.00%
November 2027,9.23%,0.00%,0.00%,0.00%,0.00%,0.00%
December 2027,2.14%,0.00%,0.00%,0.00%,0.00%,0.00%
January 2028,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,
Weighted Average Life to Maturity (years)(2),1.21,1.13,1.09,1.04,0.96,0.89
Weighted Average Life to Call (years)(2)(3),1.21,1.13,1.09,1.04,0.96,0.89
