0,1,2,3,4,5,6,7,8,9
Portfolio Summary,Portfolio Summary,Portfolio Summary,Portfolio Summary,Portfolio Summary,Portfolio Summary,Portfolio Summary,Portfolio Summary,Portfolio Summary,Portfolio Summary
Property Name,Location(1),Year Built / Renovated(1),Total SF(2),Occ.(2),Allocated Cut-off Date Balance,% of Allocated Cut-off Date Balance,UW NOI,% of UW NOI,Appraised Value(1)
Arapaho Business Park,"Richardson, TX",1976-1980 / NAP,407669,92.0%,"$27,360,000",66.7%,"$3,296,034",68.8%,"$43,200,000"
Crystal Pointe Centre,"Deerfield Beach, FL","1988, 2018 / 2006",102245,92.0%,"$13,640,000",33.3%,"$1,494,342",31.2%,"$27,000,000"
Total/ Wtd. Avg,,,509914,92.0%,"$41,000,000",100.0%,"$4,790,376",100.0%,"$70,200,000"
