0,1,2,3,4,5,6
,,,,,,
Class,,Initial Note Principal Amount(1)(2),,Interest Rate,,Final Scheduled Payment Date
Class A-2 Notes,,"$ 488,470,000",,%,,"December 15, 2027"
Class A-3 Notes,,181120000,,%,,"September 15, 2028"
Class B Notes,,197260000,,%,,"July 16, 2029"
Class C Notes,,188490000,,%,,"May 17, 2032"
Class D Notes,,144660000,,%,,"May 17, 2032"
