0,1,2
Number of receivables,,67831
Average principal balance,,"$23,874.62"
Range of principal balances,,"$1,001.07 to $81,776.01"
Weighted average annual percentage rate(1),,4.98%
Range of annual percentage rates,,0.90% to 23.93%
Weighted average original term to maturity(1),,61.89 months
Range of original terms to maturity,,24 months to 72 months
Weighted average remaining term to maturity(1),,49.73 months
Range of remaining terms to maturity,,7 months to 70 months
Percentage of aggregate principal balance of receivables for  new/used vehicles,,86.06%/13.94%
