0,1,2
Rep. No.  on Annex D-1,Mortgage  Loan and Number as  Identified on Annex A-1,Description  of the Exception
,,"certificate of occupancy, so long as the Mortgagor has provided evidence reasonably acceptable to the lender that borrower is using diligent efforts to obtain such temporary certificate of occupancy. There is a loss carveout for the failure to obtain and/or maintain a temporary certificate of occupancy with respect to the Mortgaged Property."
(28) Recourse Obligations,BioMed MIT Portfolio (Loan No. 4),"Clause (a)(ii) is limited to affirmative collusion in writing.  Clause (a)(iii) is not a full recourse item (but loss recourse).  The non-recourse carveout guarantor’s liability with respect  to the items in clause (a)(i) and (a)(ii) are limited to 15% of the outstanding Whole Loan amount (but in no event will the carveout guarantor’s  aggregate liability be less than $100,000,000), plus costs of enforcement.  With respect to clause (b)(i): security deposits, recourse is limited  to after an event of default, and all recourse under clause (b)(i) is limited such that it will not be deemed misappropriation to the  extent such amounts are applied to pay costs and expenses incurred in connection with the ownership, operation or management of the Mortgaged  Properties in accordance with the terms of the Whole Loan documents or applied to pay other obligations required to be paid pursuant to  the Whole Loan documents, or otherwise delivered to the Mortgagee.  With respect to clause (b)(iii), the environmental covenants do not  trigger recourse to the guarantor, except, subject to a cap equal to the aggregated PLL policy limit of $20,000,000 per incident and $25,000,000  in the aggregate for the Mortgaged Properties, to the extent that the Mortgagors obtain a pollution legal liability policy (the “PLL  Policy”) that does not run through at least two years past the then-current maturity date of the Whole Loan (the “Required  PLL Period”) and the Mortgagors fail to renew, replace or extend such PLL Policy through the Required PLL Period as required  under the Whole Loan documents, any liability pursuant to the related environmental indemnity agreement that first arises after the expiration  of such PLL Policy and that would have otherwise been covered by the PLL Policy had it been renewed, replaced or extended through the  Required PLL Period, except to the extent such loss is caused by or results from the gross negligence or willful misconduct of the lender.  With respect to (b)(iii), there is no separate environmental indemnitor  with respect to the Whole Loan.  The obligations of the Mortgagor, as environmental indemnitor, under  the related environmental indemnity agreement will terminate and be of no further force and effect on the second anniversary of the date  on which the Mortgage Loan is paid in full in the ordinary course, provided that, among other conditions, the Mortgagor, at its sole cost  and expense, delivers to the indemnitee an environmental assessment report relating to the Mortgaged Property, in form and substance reasonably  acceptable to the indemnitee and otherwise in accordance with the environmental indemnity agreement."
