0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,Class A-1,Class A-1,Class A-1,Class A-1,Class A-1,Class A-1,Class A-1,Class A-1,Class A-1,Class A-1,Class A-1,,Class A-2a and A-2b,Class A-2a and A-2b,Class A-2a and A-2b,Class A-2a and A-2b,Class A-2a and A-2b,Class A-2a and A-2b,Class A-2a and A-2b,Class A-2a and A-2b,Class A-2a and A-2b,Class A-2a and A-2b,Class A-2a and A-2b,
Payment Date,,0.00%,,0.50%,,1.00%,,1.30%,,1.70%,,2.00%,,0.00%,,0.50%,,1.00%,,1.30%,,1.70%,,2.00%,
Closing Date,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"October 15, 2024",,91.35,,88.73,,85.87,,84.00,,81.31,,79.08,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"November 15, 2024",,83.02,,77.87,,72.25,,68.58,,63.28,,58.91,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"December 15, 2024",,74.62,,67.03,,58.73,,53.34,,45.53,,39.09,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"January 15, 2025",,66.20,,56.25,,45.40,,38.33,,28.10,,19.67,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"February 15, 2025",,57.73,,45.53,,32.20,,23.53,,10.98,,0.64,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"March 15, 2025",,49.13,,34.76,,19.07,,8.87,,0.00,,0.00,,100.00,,100.00,,100.00,,100.00,,96.43,,89.06,
"April 15, 2025",,40.57,,24.12,,6.16,,0.00,,0.00,,0.00,,100.00,,100.00,,100.00,,96.66,,86.43,,78.00,
"May 15, 2025",,31.93,,13.50,,0.00,,0.00,,0.00,,0.00,,100.00,,100.00,,95.99,,88.07,,76.61,,67.17,
"June 15, 2025",,23.28,,2.95,,0.00,,0.00,,0.00,,0.00,,100.00,,100.00,,88.35,,79.62,,66.99,,56.58,
"July 15, 2025",,14.55,,0.00,,0.00,,0.00,,0.00,,0.00,,100.00,,95.41,,80.79,,71.29,,57.54,,46.23,
