0,1,2,3,4
Market Summary(1),Market Summary(1),Market Summary(1),Market Summary(1),Market Summary(1)
"Property Name  City, State Zip Code",MSA,Appraiser’s  Market Vacancy,2024  Population (within  1-mi. / 3-mi. / 5-mi- Radius),2024  Estimated Average Household Income  (within 1-mi. / 3-mi. / 5-mi- Radius)
"SOA - Range Road  Kimball, MI 48074","Detroit–Warren–Dearborn, MI",15.0%,"1,889 / 20,201 / 58,079","$59,519 / $76,506 / $79,057"
"SOA - Akron Main  Akron, OH 44310","Akron, OH",10.0%,"11,421 / 87,939 / 204,870","$65,324 / $80,732 / $84,354"
"SOA - Moline  Moline, IL 61265","Davenport–Moline–Rock Island, IA–IL",12.0%,"6,213 / 55,424 / 130,368","$99,616 / $86,152 / $84,810"
"SOA - Gustine  St. Louis, MO 63116","St. Louis, MO–IL",12.0%,"27,626 / 144,107 / 302,860","$69,014 / $95,046 / $96,565"
"SOA - Oak Harbor  Fremont, OH 43420","Fremont, OH",12.0%,"2,959 / 20,010 / 26,444","$61,219 / $71,915 / $76,575"
"SOA - Dort Hwy Flint, MI 48507","Flint, MI",15.0%,"7,176 / 55,744 / 133,396","$55,835 / $60,823 / $69,607"
"SOA - Rock Island  Rock Island, IL 61201","Davenport–Moline–Rock Island, IA-IL",12.0%,"6,062 / 44,253 / 121,132","$55,922 / $72,622 / $79,376"
"SOA - Broadway 1 & 2  Anderson, IN 46012","Indianapolis–Carmel–Greenwood, IN",12.0%,"2,903 / 23,672 / 57,453","$68,072 / $73,946 / $72,205"
"SOA - Chestnut  Anderson, IN 46012","Indianapolis-Carmel-Greenwood, IN",15.0%,"7,932 / 46,958 / 71,682","$55,795 / $64,709 / $72,466"
"SOA - Kitridge  Dayton, OH 45424","Dayton–Kettering–Beavercreek, OH",10.0%,"11,688 / 45,292 / 120,947","$114,136 / $96,971 / $82,823"
