0,1,2,3,4,5,6,7,8,9
Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1)
Tenant Name,Credit Rating (Fitch/Moody's/S&P)(2),Tenant SF,Approx % of Total SF,Annual UW Rent,% of Total Annual UW Rent,Annual UW Rent PSF,Lease Expiration,Renewal Options,Term. Option (Y/N)
Univar,NR/NR/NR,196382,45.1%,"$1,566,202",57.1%,$7.98,12/31/2034,"2, 5-year options",N
Midwest Trucking,NR/NR/NR,59970,13.8%,"$376,802",13.7%,$6.28,9/30/2033,"1, 5-year option",N
Safway,NR/NR/NR,42600,9.8%,"$248,569",9.1%,$5.83,7/31/2034,"2, 5-year options",N
PA Home Outlet,NR/NR/NR,34449,7.9%,"$100,800",3.7%,$2.93,11/30/2029,"1, 5-year option",N
Diamond Motor Corporation,NR/NR/NR,25000,5.7%,"$157,700",5.7%,$6.31,5/31/2035,N,N
Librandi,NR/NR/NR,21985,5.0%,"$153,900",5.6%,$7.00,5/31/2028,N,N
Miller Property,NR/NR/NR,10034,2.3%,"$73,045",2.7%,$7.28,2/29/2028,N,N
Whitman Design Group,NR/NR/NR,10000,2.3%,"$67,600",2.5%,$6.76,7/31/2030,N,N
Occupied Collateral Total,,400420,91.9%,"$2,744,618",100.0%,$6.85,,,
,,,,,,,,,
Vacant Space,,"35,460(3)",8.1%,,,,,,
Total/Wtd. Avg.,,435880,100.0%,,,,,,
