0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,Class A-1,Class A-1,Class A-1,Class A-1,Class A-1,Class A-1,Class A-1,Class A-1,Class A-1,Class A-1,Class A-1,,Class A-2a and A-2b,Class A-2a and A-2b,Class A-2a and A-2b,Class A-2a and A-2b,Class A-2a and A-2b,Class A-2a and A-2b,Class A-2a and A-2b,Class A-2a and A-2b,Class A-2a and A-2b,Class A-2a and A-2b,Class A-2a and A-2b,
Payment Date,,0.00%,,0.50%,,1.00%,,1.30%,,1.70%,,2.00%,,0.00%,,0.50%,,1.00%,,1.30%,,1.70%,,2.00%,
Closing Date,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"April 15, 2025",,90.03,,87.29,,84.19,,82.12,,79.03,,76.39,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"May 15, 2025",,80.63,,75.24,,69.16,,65.09,,59.02,,53.85,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"June 15, 2025",,71.21,,63.27,,54.33,,48.34,,39.41,,31.80,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"July 15, 2025",,61.71,,51.33,,39.64,,31.81,,20.14,,10.21,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"August 15, 2025",,52.20,,39.48,,25.15,,15.57,,1.27,,0.00,,100.00,,100.00,,100.00,,100.00,,100.00,,94.04,
"September 15, 2025",,42.64,,27.68,,10.84,,0.00,,0.00,,0.00,,100.00,,100.00,,100.00,,99.76,,90.58,,82.76,
"October 15, 2025",,33.01,,15.92,,0.00,,0.00,,0.00,,0.00,,100.00,,100.00,,98.18,,91.15,,80.66,,71.73,
"November 15, 2025",,23.35,,4.23,,0.00,,0.00,,0.00,,0.00,,100.00,,100.00,,90.55,,82.68,,70.95,,60.97,
"December 15, 2025",,13.63,,0.00,,0.00,,0.00,,0.00,,0.00,,100.00,,95.95,,83.00,,74.34,,61.44,,50.47,
"January 15, 2026",,3.88,,0.00,,0.00,,0.00,,0.00,,0.00,,100.00,,89.62,,75.55,,66.15,,52.15,,40.25,
