0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2022-3,AART 2022-3,,,AART 2024-2,AART 2024-2,
Weighted Average APR,,,6.77,%,,,9.89,%
Aggregate Amount Financed,,$,1028968867.29,,,$,1114879158.52,
Number of Contracts in Pool,,,61982,,,,61802,
Average Amount Financed,,$,16601.09,,,$,18039.53,
Weighted Average Original Maturity (in Months),,,70.07,,,,71.03,
Weighted Average Remaining Maturity (in Months),,,50.40,,,,54.11,
Percentage of Receivables with Original Maturities > 60 Months,,,79.19,%,,,79.46,%
Percentage of New Vehicles,,,40.00,%,,,40.34,%
Percentage of Non-Subvented Receivables,,,98.62,%,,,99.96,%
Weighted Average FICO Score,,,729.00,,,,734.76,
Weighted Average Loan-to-Value,,,94.45,,,,94.29,
Cutoff Date,,,"November 1, 2022",,,,"August 1, 2024",
